site,transect,year,distance_original,distance,vertical,species,species_code,lifeform,status,lifecycle,family,notes,hillslope,standtype
1,1,2019,25,25,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,25,25,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,25,25,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,25,25,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,26,26,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,26,26,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,26,26,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,27,27,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,27,27,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,27,27,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,27,27,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,27,27,5,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,27,27,6,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,27,27,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,28,28,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,28,28,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,28,28,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,28,28,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,29,29,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,29,29,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,29,29,3,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,29,29,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,29,29,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,30,30,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,30,30,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,30,30,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,30,30,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,30,30,5,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,30,30,6,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,30,30,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,31,31,1,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,31,31,2,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,31,31,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,31,31,4,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,31,31,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,32,32,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,32,32,2,Acmispon maritimus,ACMA,forb,native,annual,Fabaceae,,DEG1,degraded
1,1,2019,32,32,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,32,32,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,33,33,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,33,33,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,33,33,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,33,33,4,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,33,33,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,34,34,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,34,34,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,34,34,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,35,35,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,35,35,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,35,35,ground,bare_ground,bare_ground,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,36,36,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,36,36,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,36,36,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,36,36,4,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,36,36,5,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,36,36,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,37,37,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,37,37,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,37,37,3,Lupinus spp.,lupine,forb,native,annual,Fabaceae,,DEG1,degraded
1,1,2019,37,37,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,37,37,5,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,37,37,6,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,37,37,ground,bare_ground,bare_ground,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,38,38,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,38,38,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,38,38,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,39,39,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,39,39,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,39,39,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,40,40,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,40,40,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,40,40,3,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,40,40,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,40,40,5,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,40,40,6,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,40,40,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,41,41,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,41,41,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,41,41,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,41,41,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,41,41,5,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,41,41,6,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,41,41,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,2,2019,1,1,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,1,1,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,1,1,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,1,1,ground,bare_ground,bare_ground,ground,ground,ground,ground,,DEG1,degraded
1,2,2019,2,2,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,2,2,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,2,2019,2,2,3,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,2,2,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,2,2019,3,3,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,3,3,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,3,3,3,Hirschfeldia incana,HIIN dead,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,3,3,4,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,3,3,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,2,2019,4,4,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,4,4,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,4,4,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,4,4,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,4,4,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,2,2019,5,5,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,5,5,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,5,5,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,2,2019,6,6,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,6,6,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,6,6,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,2,2019,7,7,1,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,2,2019,7,7,ground,native_litter,native_litter,litter,litter,litter,litter,,DEG1,degraded
1,2,2019,8,8,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,8,8,2,Artemisia californica,ARCA,shrub,native,perennial,Asteraceae,,DEG1,degraded
1,2,2019,8,8,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,2,2019,9,9,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,9,9,2,Artemisia californica,ARCA,shrub,native,perennial,Asteraceae,,DEG1,degraded
1,2,2019,9,9,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,9,9,4,Artemisia californica,ARCA,shrub,native,perennial,Asteraceae,,DEG1,degraded
1,2,2019,9,9,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,2,2019,10,10,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,10,10,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,10,10,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,10,10,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,2,2019,11,11,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,11,11,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,11,11,3,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,11,11,4,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,11,11,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,2,2019,12,12,1,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,12,12,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,12,12,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,12,12,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,2,2019,13,13,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,13,13,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,2,2019,13,13,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,13,13,4,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,13,13,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,2,2019,14,14,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,14,14,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,2,2019,14,14,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,14,14,4,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,2,2019,14,14,5,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,14,14,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,2,2019,15,15,1,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,15,15,2,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,15,15,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,15,15,4,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,15,15,5,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,15,15,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,2,2019,16,16,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
