year,ch1_site,ch1_transect,rep,standtype,transectsite,status,lifeform,family,ch1_species,lifespan,lifestage,link to tab: belt_byspecies => https://docs.google.com/spreadsheets/d/1JG8udkjru26Z6zy7LwNiDczkgRrB42tNG_wnW2O2R60/edit?usp=sharing
2019,INT2,1,2,Intact2,2,native,herb,Hydrophyllaceae,Eucrypta chrysanthemifolia,annual,not a shrub,
2019,INT1,1,1,Intact1,1,native,herb,Hydrophyllaceae,Eucrypta chrysanthemifolia,annual,not a shrub,
2019,INT3,1,3,Intact3,3,native,herb,Hydrophyllaceae,Eucrypta chrysanthemifolia,annual,not a shrub,
2019,INT1,1,1,Intact1,1,native,herb,Rubiaceae,Galium porrigens,perennial,not a shrub,
2019,INT2,1,2,Intact2,2,native,herb,Rubiaceae,Galium porrigens,perennial,not a shrub,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,immature,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,immature,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,dead,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,dead,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,dead,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,dead,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,dead,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,dead,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,dead,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,dead,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,dead,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,dead,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,dead,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,dead,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,dead,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,dead,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,dead,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,dead,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,dead,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,dead,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,dead,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,dead,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT1,1,1,Intact1,1,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT2,1,2,Intact2,2,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,immature,
2019,INT2,1,2,Intact2,2,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT2,1,2,Intact2,2,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT2,1,2,Intact2,2,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT2,1,2,Intact2,2,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT2,1,2,Intact2,2,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT2,1,2,Intact2,2,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT2,1,2,Intact2,2,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT2,1,2,Intact2,2,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT3,1,3,Intact3,3,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,immature,
2019,INT3,1,3,Intact3,3,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,immature,
2019,INT3,1,3,Intact3,3,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT3,1,3,Intact3,3,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT3,1,3,Intact3,3,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT3,1,3,Intact3,3,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT3,1,3,Intact3,3,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,INT3,1,3,Intact3,3,native,shrub,Rosaceae,Heteromeles arbutifolia,perennial,mature,
2019,1,1,1,DEG1,1,non-native,herb,Brassicaceae,Hirschfeldia incana,annual,not a shrub,
2019,1,3,3,DEG1,3,non-native,herb,Brassicaceae,Hirschfeldia incana,annual,not a shrub,
2019,2,4,4,ENH2,2,non-native,herb,Brassicaceae,Hirschfeldia incana,annual,not a shrub,
2019,2,4,4,ENH2,1,native,herb,Fabaceae,Lupinus spp.,annual,not a shrub,
2019,1,4,1,ENH1,1,native,herb,Fabaceae,Lupinus bicolor,annual,not a shrub,
2019,1,2,2,DEG1,2,native,herb,Fabaceae,Lupinus bicolor,annual,not a shrub,
2019,1,1,1,DEG1,1,native,herb,Fabaceae,Lupinus spp.,annual,not a shrub,
2019,1,3,3,DEG1,3,native,herb,Fabaceae,Lupinus spp.,annual,not a shrub,
2019,2,1,4,DEG2,1,native,herb,Fabaceae,Lupinus spp.,annual,not a shrub,
2019,1,5,2,ENH1,2,native,herb,Fabaceae,Lupinus spp.,annual,not a shrub,
2019,1,6,3,ENH1,3,native,herb,Fabaceae,Lupinus spp.,annual,not a shrub,
2019,1,2,2,DEG1,2,native,herb,Fabaceae,Lupinus succulentus,annual,not a shrub,
2019,1,4,1,ENH1,1,native,herb,Fabaceae,Lupinus succulentus,annual,not a shrub,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
2019,1,6,3,ENH1,3,native,shrub,Malvaceae,Malacothamnus fasciculatus,perennial,dead,
