trasecttype,standtype,site,rep,distance,vertical,species,lifeform,status,lifecycle,Family,lifestage,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Trifolium gracilentum,herb,native,annual,Fabaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Artemisia californica,shrub,native,perennial,Asteraceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Artemisia californica,shrub,native,perennial,Asteraceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Baccharis pilularis,shrub,native,perennial,Asteraceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Dipterostemon capitatus,herb,native,perennial,Themidaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Lupinus bicolor,herb,native,annual,Fabaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Lupinus succulentus,herb,native,annual,Fabaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Phacelia hubbyi,herb,native,annual,Hydrophyllaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,2,,,Trifolium gracilentum,herb,native,annual,Fabaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,3,,,Artemisia californica,shrub,native,perennial,Asteraceae,immature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,3,,,Artemisia californica,shrub,native,perennial,Asteraceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,3,,,Artemisia californica,shrub,native,perennial,Asteraceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,3,,,Avena barbata,grass,nonnative,annual,Poaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,3,,,Bromus rubens,grass,nonnative,annual,Poaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,3,,,Dipterostemon capitatus,herb,native,perennial,Themidaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,3,,,Hirschfeldia incana,herb,nonnative,annual,Brassicaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,3,,,Lupinus spp.,herb,native,annual,Fabaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,3,,,Phacelia hubbyi,herb,native,annual,Hydrophyllaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,3,,,Salvia apiana,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,3,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,resprout,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,3,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,3,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,3,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,3,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,3,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,4,,,Acmispon maritimus,herb,native,annual,Fabaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,4,,,Eriogonum fasciculatum,shrub,native,perennial,Polygonaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,4,,,Dipterostemon capitatus,herb,native,perennial,Themidaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,4,,,Lupinus spp.,herb,native,annual,Fabaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,4,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,4,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,4,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,4,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,4,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,4,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,4,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,4,,,Marah macrocarpa,herb,native,perennial,Cucurbitaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,4,,,Phacelia hubbyi,herb,native,annual,Hydrophyllaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,4,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,4,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,4,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,4,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,4,,,Stephanomeria virgata,herb,native,annual,Asteraceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,4,,,Trifolium gracilentum,herb,native,annual,Fabaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Chenopodium californicum,herb,native,perennial,Amaranthaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Dipterostemon capitatus,herb,native,perennial,Themidaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,seedling,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,seedling,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,seedling,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Stephanomeria virgata,herb,native,annual,Asteraceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Thysanocarpus curvipes,herb,native,annual,Brassicaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,5,,,Trifolium gracilentum,herb,native,annual,Fabaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,6,,,Acmispon maritimus,herb,native,annual,Fabaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,6,,,Artemisia californica,shrub,native,perennial,Asteraceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,6,,,Chenopodium californicum,herb,native,perennial,Amaranthaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,6,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,6,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,6,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,6,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,6,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,6,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,6,,,Malacothamnus fasciculatus,shrub,native,perennial,Malvaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,6,,,Phacelia hubbyi,herb,native,annual,Hydrophyllaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG2,6,,,Thysanocarpus curvipes,herb,native,annual,Brassicaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Adiantum capillus-veneris,fern,native,perennial,Pteridaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Artemisia californica,shrub,native,perennial,Asteraceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Artemisia californica,shrub,native,perennial,Asteraceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Artemisia californica,shrub,native,perennial,Asteraceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Artemisia californica,shrub,native,perennial,Asteraceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Artemisia californica,shrub,native,perennial,Asteraceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Artemisia californica,shrub,native,perennial,Asteraceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Artemisia californica,shrub,native,perennial,Asteraceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Artemisia californica,shrub,native,perennial,Asteraceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Artemisia californica,shrub,native,perennial,Asteraceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Artemisia californica,shrub,native,perennial,Asteraceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Avena barbata,grass,nonnative,annual,Poaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Bromus diandrus,grass,nonnative,annual,Poaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Bromus rubens,grass,nonnative,annual,Poaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Carduus pycnocephalus,herb,native,annual,Asteraceae,NA,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Chlorogalum pomeridianum,herb,native,perennial,Agavaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,dead,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,dead,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,dead,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,dead,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,dead,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,dead,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,dead,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,dead,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,dead,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,dead,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,dead,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,dead,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,dead,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,dead,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,dead,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,dead,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,dead,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,dead,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,dead,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,dead,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Heteromeles arbutifolia,shrub,native,perennial,Rosaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Claytonia perfoliata,herb,native,annual,Montiaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Eucrypta chrysanthemifolia,herb,native,annual,Hydrophyllaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Galium porrigens,herb,native,perennial,Rubiaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Marah macrocarpa,herb,native,perennial,Cucurbitaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Pellaea andromedifolia,fern,native,perennial,Pteridaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Rhamnus ilicifolia,shrub,native,perennial,Rhamnaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Rhamnus ilicifolia,shrub,native,perennial,Rhamnaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Rhus ovata,shrub,native,perennial,Anacardiaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Stephanomeria virgata,herb,native,annual,Asteraceae,NA,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact1,1,,,Stipa lepida,grass,native,perennial,Poaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact2,2,,,Artemisia californica,shrub,native,perennial,Asteraceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact2,2,,,Artemisia californica,shrub,native,perennial,Asteraceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact2,2,,,Artemisia californica,shrub,native,perennial,Asteraceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact2,2,,,Artemisia californica,shrub,native,perennial,Asteraceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact2,2,,,Artemisia californica,shrub,native,perennial,Asteraceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact2,2,,,Artemisia californica,shrub,native,perennial,Asteraceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact2,2,,,Artemisia californica,shrub,native,perennial,Asteraceae,immature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact2,2,,,Artemisia californica,shrub,native,perennial,Asteraceae,seedling,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact2,2,,,Artemisia californica,shrub,native,perennial,Asteraceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact2,2,,,Artemisia californica,shrub,native,perennial,Asteraceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact2,2,,,Artemisia californica,shrub,native,perennial,Asteraceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact2,2,,,Artemisia californica,shrub,native,perennial,Asteraceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact2,2,,,Artemisia californica,shrub,native,perennial,Asteraceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact2,2,,,Artemisia californica,shrub,native,perennial,Asteraceae,mature,,,,,,,,,,,,,,,,,,,,
belt,intact,Intact2,2,,,Artemisia californica,shrub,native,perennial,Asteraceae,mature,,,,,,,,,,,,,,,,,,,,
