year,date,name,hillslope,standtype,site,rep,rep_on_the_datasheet,species_on_the_datasheet,species,notes,transect_spplist,link to tab: specieslist -> https://docs.google.com/spreadsheets/d/1FK2YxFNLESzUOiZXI4AIm9gUVStaOLQqCRljIOMnwoM/edit?usp=sharing
2024,28-Apr-24,Kira and Joanna,,,2,15,15,Bromus diandrus BRDI,Bromus diandrus,,,
2024,28-Apr-24,Kira and Joanna,,,2,17,17,Bromus diandrus BRDI,Bromus diandrus,,,
2024,19-May-24,"Stephanie, Sophia, Nick",,,1,14,14,Bromus diandrus BRDI,Bromus diandrus,,,
2024,18-May-24,"Stephanie, Ommar",,,1,11,11,Bromus diandrus BRDI,Bromus diandrus,,,
2024,18-May-24,"Stephanie, Ommar",,,1,12,12,Bromus diandrus BRDI,Bromus diandrus,,,
2024,18-May-24,"Stephanie, Ommar",,,1,13,13,Bromus diandrus BRDI,Bromus diandrus,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,19,19,Bromus diandrus BRDI,Bromus diandrus,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,21,21,Bromus diandrus BRDI,Bromus diandrus,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,13,7,Bromus hordeaceus BRHO,Bromus hordeaceus,,,
2024,10-Apr-24,"Kit, Carla",DEG2,matrix,2,14,1,Bromus hordeaceus BRHO,Bromus hordeaceus,,,
2024,5-May-24,"Albert, Stephanie",,,1,10,10,Bromus hordeaceus BRHO,Bromus hordeaceus,,,
2024,4/28/24,Kira pusch,,,2,18,18,Bromus hordeaceus BRHO,Bromus hordeaceus,,,
2024,4/28/24,Kira pusch,,,2,16,16,Bromus hordeaceus BRHO,Bromus hordeaceus,,,
2024,28-Apr-24,Kira and Joanna,,,2,15,15,Bromus hordeaceus BRHO,Bromus hordeaceus,,,
2024,28-Apr-24,Kira and Joanna,,,2,17,17,Bromus hordeaceus BRHO,Bromus hordeaceus,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,19,19,Bromus hordeaceus BRHO,Bromus hordeaceus,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,20,20,Bromus hordeaceus BRHO,Bromus hordeaceus,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,21,21,Bromus hordeaceus BRHO,Bromus hordeaceus,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,21,21,Bromus hordeaceus BRHO,Bromus hordeaceus,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,8,2,Bromus rubens,Bromus rubens,,,
2024,25-May-24,"Stephanie, Sophia",,,INT5,1,1,Bromus rubens BRRU,Bromus rubens,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,7,1,Bromus rubens BRRU,Bromus rubens,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,9,3,Bromus rubens BRRU,Bromus rubens,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,10,4,Bromus rubens BRRU,Bromus rubens,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,11,5,Bromus rubens BRRU,Bromus rubens,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,12,6,Bromus rubens BRRU,Bromus rubens,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,13,7,Bromus rubens BRRU,Bromus rubens,,,
2024,4-May-24,"Stephanie, Ommar",,,1,7,7,Bromus rubens BRRU,Bromus rubens,,,
2024,4-May-24,"Stephanie, Ommar",,,1,8,8,Bromus rubens BRRU,Bromus rubens,,,
2024,4-May-24,"Stephanie, Ommar",,,1,8,8,Bromus rubens BRRU,Bromus rubens,,,
2024,5-May-24,"Albert, Stephanie",,,1,9,9,Bromus rubens BRRU,Bromus rubens,,,
2024,5-May-24,"Albert, Stephanie",,,1,10,10,Bromus rubens BRRU,Bromus rubens,,,
2024,4/28/24,Kira pusch,,,2,18,18,Bromus rubens BRRU,Bromus rubens,,,
2024,4/28/24,Kira pusch,,,2,16,16,Bromus rubens BRRU,Bromus rubens,,,
2024,28-Apr-24,Kira and Joanna,,,2,15,15,Bromus rubens BRRU,Bromus rubens,,,
2024,28-Apr-24,Kira and Joanna,,,2,17,17,Bromus rubens BRRU,Bromus rubens,,,
2024,19-May-24,"Stephanie, Sophia, Nick",,,1,14,14,Bromus rubens BRRU,Bromus rubens,,,
2024,18-May-24,"Stephanie, Ommar",,,1,11,11,Bromus rubens BRRU,Bromus rubens,,,
2024,18-May-24,"Stephanie, Ommar",,,1,12,12,Bromus rubens BRRU,Bromus rubens,,,
2024,18-May-24,"Stephanie, Ommar",,,1,13,13,Bromus rubens BRRU,Bromus rubens,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,19,19,Bromus rubens BRRU,Bromus rubens,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,20,20,Bromus rubens BRRU,Bromus rubens,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,21,21,Bromus rubens BRRU,Bromus rubens,,,
2024,4-May-24,"Stephanie, Ommar",,,1,7,7,Calochortus clavatus,Calochortus clavatus,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,11,5,Calystegia macrostegia,Calystegia macrostegia,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,12,6,Calystegia macrostegia,Calystegia macrostegia,,,
2024,4-May-24,"Stephanie, Ommar",,,1,7,7,Calystegia macrostegia,Calystegia macrostegia,,,
2024,4-May-24,"Stephanie, Ommar",,,1,8,8,Calystegia macrostegia,Calystegia macrostegia,,,
2024,4/28/24,Kira pusch,,,2,18,18,Calystegia macrostegia,Calystegia macrostegia,,,
2024,28-Apr-24,Kira and Joanna,,,2,17,17,Calystegia macrostegia,Calystegia macrostegia,,,
2024,19-May-24,"Stephanie, Sophia, Nick",,,1,14,14,Calystegia macrostegia,Calystegia macrostegia,,,
2024,18-May-24,"Stephanie, Ommar",,,1,13,13,Calystegia macrostegia,Calystegia macrostegia,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,8,2,CAMA Calystegia macrostegia,Calystegia macrostegia,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,10,4,CAMA Calystegia macrostegia,Calystegia macrostegia,,,
2024,10-Apr-24,"Kit, Carla",DEG2,matrix,2,14,1,CAMA Calystegia macrostegia,Calystegia macrostegia,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,21,21,Camissoniopsis micrantha,Camissoniopsis micrantha,red flowered plant,,
2024,25-May-24,"Stephanie, Sophia",,,INT5,1,1,Carduus pycnocephalus,Carduus pycnocephalus,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,12,6,Carduus pycnocephalus,Carduus pycnocephalus,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,13,7,Carduus pycnocephalus,Carduus pycnocephalus,,,
2024,4-May-24,"Stephanie, Ommar",,,1,8,8,Carduus pycnocephalus,Carduus pycnocephalus,,,
2024,28-Apr-24,Kira and Joanna,,,2,15,15,Carduus pycnocephalus,Carduus pycnocephalus,,,
2024,28-Apr-24,Kira and Joanna,,,2,17,17,Carduus pycnocephalus,Carduus pycnocephalus,,,
2024,19-May-24,"Stephanie, Sophia, Nick",,,1,14,14,Carduus pycnocephalus,Carduus pycnocephalus,,,
2024,18-May-24,"Stephanie, Ommar",,,1,11,11,Carduus pycnocephalus,Carduus pycnocephalus,,,
2024,4-May-24,"Stephanie, Ommar",,,1,7,7,Ceanothus cuneatus,Ceanothus cuneatus,,,
2024,25-May-24,"Stephanie, Sophia",,,INT5,1,1,Ceanothus oliganthus,Ceanothus oliganthus,ceol,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,12,6,Centaurea melitensis,Centaurea melitensis,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,13,7,Centaurea melitensis,Centaurea melitensis,,,
2024,4-May-24,"Stephanie, Ommar",,,1,7,7,Centaurea melitensis,Centaurea melitensis,,,
2024,4-May-24,"Stephanie, Ommar",,,1,8,8,Centaurea melitensis,Centaurea melitensis,,,
2024,5-May-24,"Albert, Stephanie",,,1,9,9,Centaurea melitensis,Centaurea melitensis,,,
2024,5-May-24,"Albert, Stephanie",,,1,10,10,Centaurea melitensis,Centaurea melitensis,,,
2024,4/28/24,Kira pusch,,,2,16,16,Centaurea melitensis,Centaurea melitensis,,,
2024,28-Apr-24,Kira and Joanna,,,2,15,15,Centaurea melitensis,Centaurea melitensis,,,
2024,28-Apr-24,Kira and Joanna,,,2,17,17,Centaurea melitensis,Centaurea melitensis,,,
2024,19-May-24,"Stephanie, Sophia, Nick",,,1,14,14,Centaurea melitensis,Centaurea melitensis,,,
2024,18-May-24,"Stephanie, Ommar",,,1,11,11,Centaurea melitensis,Centaurea melitensis,,,
2024,18-May-24,"Stephanie, Ommar",,,1,13,13,Centaurea melitensis,Centaurea melitensis,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,19,19,Centaurea melitensis,Centaurea melitensis,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,20,20,Centaurea melitensis,Centaurea melitensis,,,
2024,4/28/24,Kira pusch,,,2,18,18,Chenopodium californicum,Chenopodium californicum,,,
2024,28-Apr-24,Kira and Joanna,,,2,15,15,Chenopodium californicum,Chenopodium californicum,,,
2024,28-Apr-24,Kira and Joanna,,,2,17,17,Chenopodium californicum,Chenopodium californicum,,,
2024,25-May-24,"Stephanie, Sophia",,,INT5,1,1,Chlorogalum pomeridianum,Chlorogalum pomeridianum,chlorogalum pomeridianum soap plant,,
2024,25-May-24,"Stephanie, Sophia",,,INT5,1,1,Claytonia parviflora,Claytonia parviflora,claytonia parviflora,,
2024,25-May-24,"Stephanie, Sophia",,,INT5,1,1,Claytonia perfoliata,Claytonia perfoliata,claytonia perfoliata,,
2024,25-May-24,"Stephanie, Sophia",,,INT5,1,1,Clematis lasiantha,Clematis lasiantha,clematis spp - likely chaparral clematis,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,13,7,Croton setiger,Croton setiger,,,
2024,10-Apr-24,"Kit, Carla",DEG2,matrix,2,14,1,Croton setiger,Croton setiger,,,
2024,18-May-24,"Stephanie, Ommar",,,1,11,11,Croton setiger,Croton setiger,,,
2024,18-May-24,"Stephanie, Ommar",,,1,12,12,Croton setiger,Croton setiger,,,
2024,18-May-24,"Stephanie, Ommar",,,1,13,13,Croton setiger,Croton setiger,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,8,2,Cryptantha sp.,Cryptantha spp.,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,21,21,Cryptantha sp.,Cryptantha spp.,,,
2024,19-May-24,"Stephanie, Sophia, Nick",,,1,14,14,Daucus pusillus,Daucus pusillus,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,20,20,Daucus pusillus,Daucus pusillus,carrot species that was also at Site 1 transect 14,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,7,1,Dipterostemon capitatus DICA,Dipterostemon capitatus,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,8,2,Dipterostemon capitatus DICA,Dipterostemon capitatus,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,10,4,Dipterostemon capitatus DICA,Dipterostemon capitatus,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,11,5,Dipterostemon capitatus DICA,Dipterostemon capitatus,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,13,7,Dipterostemon capitatus DICA,Dipterostemon capitatus,,,
2024,10-Apr-24,"Kit, Carla",DEG2,matrix,2,14,1,Dipterostemon capitatus DICA,Dipterostemon capitatus,,,
2024,4-May-24,"Stephanie, Ommar",,,1,8,8,Dipterostemon capitatus DICA,Dipterostemon capitatus,,,
2024,4-May-24,"Stephanie, Ommar",,,1,8,8,Dipterostemon capitatus DICA,Dipterostemon capitatus,,,
2024,5-May-24,"Albert, Stephanie",,,1,10,10,Dipterostemon capitatus DICA,Dipterostemon capitatus,,,
2024,4/28/24,Kira pusch,,,2,16,16,Dipterostemon capitatus DICA,Dipterostemon capitatus,,,
2024,28-Apr-24,Kira and Joanna,,,2,17,17,Dipterostemon capitatus DICA,Dipterostemon capitatus,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,12,6,Elymus condensatus,Elymus condensatus,,,
2024,10-Apr-24,"Kit, Carla",DEG2,matrix,2,14,1,Elymus condensatus,Elymus condensatus,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,7,1,Emmenanthe penduliflora,Emmenanthe penduliflora,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,8,2,Emmenanthe penduliflora,Emmenanthe penduliflora,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,12,6,Emmenanthe penduliflora EMPE,Emmenanthe penduliflora,,,
2024,28-Apr-24,Kira and Joanna,,,2,17,17,Erigeron canadensis,Erigeron canadensis,"Need to double check spp with Joanna. Joanna remembers seeing an Erigeron - June 11, 2024",,
2024,18-May-24,"Stephanie, Ommar",,,1,11,11,Erigeron canadensis,Erigeron canadensis,,,
2024,18-May-24,"Stephanie, Ommar",,,1,13,13,Erigeron canadensis,Erigeron canadensis,,,
2024,4/28/24,Kira pusch,,,2,16,16,Eriogonum fasciculatum,Eriogonum fasciculatum,,,
2024,28-Apr-24,Kira and Joanna,,,2,15,15,Eriogonum fasciculatum,Eriogonum fasciculatum,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,8,2,Erodium cicutarium ERCI,Erodium cicutarium,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,11,5,Erodium cicutarium ERCI,Erodium cicutarium,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,12,6,Erodium cicutarium ERCI,Erodium cicutarium,,,
2024,5-May-24,"Albert, Stephanie",,,1,9,9,Erodium cicutarium ERCI,Erodium cicutarium,,,
2024,19-May-24,"Stephanie, Sophia, Nick",,,1,14,14,Erodium cicutarium ERCI,Erodium cicutarium,,,
2024,18-May-24,"Stephanie, Ommar",,,1,13,13,Erodium cicutarium ERCI,Erodium cicutarium,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,20,20,Erodium cicutarium ERCI,Erodium cicutarium,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,21,21,Erodium cicutarium ERCI,Erodium cicutarium,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,10,4,Erodium spp.,Erodium spp.,Erodium - no species recorded,,
2024,4-May-24,"Stephanie, Ommar",,,1,7,7,Erodium spp.,Erodium spp.,,,
2024,4-May-24,"Stephanie, Ommar",,,1,8,8,Erodium spp.,Erodium spp.,,,
2024,4/28/24,Kira pusch,,,2,16,16,Erodium spp.,Erodium spp.,,,
2024,28-Apr-24,Kira and Joanna,,,2,15,15,Erodium spp.,Erodium spp.,,,
2024,28-Apr-24,Kira and Joanna,,,2,17,17,Erodium spp.,Erodium spp.,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,8,2,Eschscholzia californica,Eschscholzia californica,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,9,3,Eschscholzia californica,Eschscholzia californica,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,11,5,Eschscholzia californica,Eschscholzia californica,,,
2024,25-May-24,"Stephanie, Sophia",,,INT5,1,1,Eucrypta chrysanthemifolia,Eucrypta chrysanthemifolia,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,7,1,Eucrypta chrysanthemifolia,Eucrypta chrysanthemifolia,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,19,19,Eucrypta chrysanthemifolia,Eucrypta chrysanthemifolia,,,
2024,10-Apr-24,"Kit, Carla",DEG2,matrix,2,14,1,Eucrypta spp.,Eucrypta chrysanthemifolia,,,
2024,4/28/24,Kira pusch,,,2,16,16,Eucrypta spp.,Eucrypta chrysanthemifolia,,,
2024,28-Apr-24,Kira and Joanna,,,2,15,15,Eucrypta spp.,Eucrypta chrysanthemifolia,,,
2024,28-Apr-24,Kira and Joanna,,,2,17,17,Eucrypta spp.,Eucrypta chrysanthemifolia,,,
2024,5-May-24,"Albert, Stephanie",,,1,9,9,Euphorbia albomarginata,Euphorbia albomarginata,,,
2024,18-May-24,"Stephanie, Ommar",,,1,13,13,Euphorbia albomarginata,Euphorbia albomarginata,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,13,7,Festuca myuros,Festuca myuros,,,
2024,4/28/24,Kira pusch,,,2,16,16,Festuca myuros,Festuca myuros,,,
2024,28-Apr-24,Kira and Joanna,,,2,15,15,Festuca myuros,Festuca myuros,,,
2024,28-Apr-24,Kira and Joanna,,,2,17,17,Festuca myuros,Festuca myuros,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,19,19,Festuca myuros,Festuca myuros,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,20,20,Festuca myuros,Festuca myuros,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,21,21,Festuca myuros,Festuca myuros,,,
2024,4-May-24,"Stephanie, Ommar",,,1,8,8,Galium,Galium spp.,This one needs to be ided to species - check your notebook to see what this plant is,,
2024,25-May-24,"Stephanie, Sophia",,,INT5,1,1,Galium californicum,Galium californicum,bed straw (round leaves),,
2024,25-May-24,"Stephanie, Sophia",,,INT5,1,1,Galium porrigens,Galium porrigens,bed straw (big long leaves),,
2024,19-May-24,"Stephanie, Sophia, Nick",,,1,14,14,Galium spp.,Galium spp.,,,
2024,25-May-24,"Stephanie, Sophia",,,INT5,1,1,Hesperocnide tenella,Hesperocnide tenella,hesperocrude tenella - western stinging nettle,,
2024,25-May-24,"Stephanie, Sophia",,,INT5,1,1,Heteromeles arbutifolia,Heteromeles arbutifolia,hear,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,7,1,HIIN Hirschfeldia incana - long pods,Hirschfeldia incana,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,8,2,HIIN Hirschfeldia incana - long pods,Hirschfeldia incana,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,9,3,HIIN Hirschfeldia incana - long pods,Hirschfeldia incana,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,10,4,HIIN Hirschfeldia incana - long pods,Hirschfeldia incana,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,11,5,HIIN Hirschfeldia incana - long pods,Hirschfeldia incana,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,12,6,HIIN Hirschfeldia incana - long pods,Hirschfeldia incana,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,13,7,HIIN Hirschfeldia incana - long pods,Hirschfeldia incana,,,
2024,10-Apr-24,"Kit, Carla",DEG2,matrix,2,14,1,HIIN Hirschfeldia incana - long pods,Hirschfeldia incana,,,
2024,4/28/24,Kira pusch,,,2,18,18,HIIN Hirschfeldia incana - long pods,Hirschfeldia incana,,,
2024,4/28/24,Kira pusch,,,2,16,16,HIIN Hirschfeldia incana - long pods,Hirschfeldia incana,,,
2024,28-Apr-24,Kira and Joanna,,,2,15,15,HIIN Hirschfeldia incana - long pods,Hirschfeldia incana,,,
2024,28-Apr-24,Kira and Joanna,,,2,17,17,HIIN Hirschfeldia incana - long pods,Hirschfeldia incana,,,
2024,18-May-24,"Stephanie, Ommar",,,1,13,13,HIIN Hirschfeldia incana - long pods,Hirschfeldia incana,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,21,21,HIIN Hirschfeldia incana - long pods,Hirschfeldia incana,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,7,1,Lactuca serriola,Lactuca serriola,,,
