site,transect,year,distance,vertical,species,species_code,lifeform,status,lifecycle,family,notes,hillslope,standtype
1,1,2019,20,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,20,3,Artemisia californica,ARCA,shrub,native,perennial,Asteraceae,,DEG1,degraded
1,1,2019,20,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,20,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,21,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,21,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,21,3,Artemisia californica,ARCA,shrub,native,perennial,Asteraceae,,DEG1,degraded
1,1,2019,21,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,21,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,22,1,Erodium spp.,erodium,forb,nonnative,annual,Geraniaceae,,DEG1,degraded
1,1,2019,22,2,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,22,3,Artemisia californica,ARCA,shrub,native,perennial,Asteraceae,,DEG1,degraded
1,1,2019,22,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,22,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,23,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,23,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,23,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,23,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,23,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,24,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,24,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,24,3,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,24,4,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,24,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,25,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,25,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,25,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,25,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,26,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,26,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,26,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,27,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,27,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,27,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,27,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,27,5,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,27,6,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,27,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,28,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,28,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,28,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,28,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,29,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,29,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,29,3,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,29,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,29,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,30,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,30,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,30,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,30,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,30,5,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,30,6,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,30,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,31,1,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,31,2,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,31,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,31,4,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,31,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,32,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,32,2,Acmispon maritimus,ACMA,forb,native,annual,Fabaceae,,DEG1,degraded
1,1,2019,32,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,32,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,33,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,33,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,33,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,33,4,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,33,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,34,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,34,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,34,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,35,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,35,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,35,ground,bare_ground,bare_ground,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,36,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,36,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,36,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,36,4,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,36,5,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,36,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,37,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,37,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,37,3,Lupinus spp.,lupine,forb,native,annual,Fabaceae,,DEG1,degraded
1,1,2019,37,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,37,5,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,37,6,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,37,ground,bare_ground,bare_ground,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,38,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,38,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,38,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,39,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,39,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,39,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,40,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,40,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,40,3,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,40,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,40,5,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,40,6,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,40,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,41,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,41,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,41,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,41,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,41,5,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,41,6,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,41,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,2,2019,1,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,1,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,1,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,1,ground,bare_ground,bare_ground,ground,ground,ground,ground,,DEG1,degraded
1,2,2019,2,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,2,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,2,2019,2,3,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,2,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,2,2019,3,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,3,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,3,3,Hirschfeldia incana,HIIN dead,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,3,4,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,3,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,2,2019,4,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,4,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,4,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,4,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,4,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,2,2019,5,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,5,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,5,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,2,2019,6,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,6,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,6,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,2,2019,7,1,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,2,2019,7,ground,litter,native_litter,ground,ground,ground,ground,,DEG1,degraded
1,2,2019,8,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,8,2,Artemisia californica,ARCA,shrub,native,perennial,Asteraceae,,DEG1,degraded
1,2,2019,8,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,2,2019,9,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,9,2,Artemisia californica,ARCA,shrub,native,perennial,Asteraceae,,DEG1,degraded
1,2,2019,9,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,9,4,Artemisia californica,ARCA,shrub,native,perennial,Asteraceae,,DEG1,degraded
1,2,2019,9,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,2,2019,10,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,10,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,10,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,10,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,2,2019,11,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,11,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,11,3,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,11,4,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,11,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,2,2019,12,1,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,12,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,12,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,12,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,2,2019,13,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,13,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,2,2019,13,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,13,4,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,13,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,2,2019,14,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,14,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,2,2019,14,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,14,4,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,2,2019,14,5,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,14,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,2,2019,15,1,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,15,2,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,15,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,15,4,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,15,5,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,15,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,2,2019,16,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,16,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,2,2019,16,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,2,2019,17,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,17,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,17,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,2,2019,17,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,17,5,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,2,2019,17,6,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,17,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,2,2019,18,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,18,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,2,2019,18,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,2,2019,18,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,2,2019,19,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
