system:index,ID,aspect,elevation,hillshade,slope,system_ind,group_15,group_9,group_6,group_4,group_2,fire_history,southwestness,twi,.geo
19,26,105.2066431,462.3115845,125,18.69351134,2.13,9,eggplant,4,3,2,,0.915986666,,"{""type"":""Point"",""coordinates"":[-118.76166856649823,34.49713076201759]}"
0000000000000000001e,31,137.0276683,475.7694702,146,16.09644777,2.18,9,eggplant,4,3,2,,0.999970066,,"{""type"":""Point"",""coordinates"":[-118.76229284064569,34.49687659325755]}"
0000000000000000001a,27,115.2622836,467.3361816,149,11.06465207,2.14,10,eggplant,4,3,2,,-0.976326229,,"{""type"":""Point"",""coordinates"":[-118.76205650828987,34.49676511573121]}"
0,1,144.8231136,405.1377563,145,20.08144126,1.01,11,fig,4,3,2,,0.066225261,,"{""type"":""Point"",""coordinates"":[-118.76013017663477,34.51824014640461]}"
1,2,144.8231136,405.1377563,145,20.08144126,1.02,11,fig,4,3,2,,0.066225261,,"{""type"":""Point"",""coordinates"":[-118.7600722083211,34.51829365561725]}"
0000000000000000000d,14,51.55576043,449.1976624,160,8.260508394,2.01,11,fig,4,3,2,,-0.792045631,,"{""type"":""Point"",""coordinates"":[-118.7609997013402,34.496760656630165]}"
0000000000000000000f,16,5.2107907,448.0368042,178,7.350957342,2.03,11,fig,4,3,2,,0.992533545,,"{""type"":""Point"",""coordinates"":[-118.76085701010648,34.49676957483226]}"
0000000000000000000e,15,94.31902164,451.5690308,143,11.94595405,2.02,12,grape,5,4,2,,0.300181798,,"{""type"":""Point"",""coordinates"":[-118.76123157459496,34.49692118426808]}"
13,20,161.1991677,460.6292114,158,22.24860718,2.07,13,grape,5,4,2,,0.566141216,,"{""type"":""Point"",""coordinates"":[-118.76024611326214,34.49796015481353]}"
14,21,166.7433211,467.0610352,163,24.38288284,2.08,13,grape,5,4,2,,-0.136784671,,"{""type"":""Point"",""coordinates"":[-118.76070985977174,34.497915563803005]}"
15,22,159.9026968,472.4145508,153,26.62950501,2.09,13,grape,5,4,2,,-0.640119505,,"{""type"":""Point"",""coordinates"":[-118.7604423137085,34.49807609144092]}"
17,24,160.6130943,477.4640503,150,30.07336633,2.11,13,grape,5,4,2,,0.015743072,,"{""type"":""Point"",""coordinates"":[-118.76067864606436,34.49813851885567]}"
18,25,160.4044833,472.6124573,153,26.4915575,2.12,14,hachiya,5,4,2,,-0.191673863,,"{""type"":""Point"",""coordinates"":[-118.76166856649823,34.49741168538396]}"
9,10,155.7614862,383.443634,157,18.45904945,1.11,15,ice,6,4,2,,0.992386595,,"{""type"":""Point"",""coordinates"":[-118.759398884062,34.51799043674561]}"
0000000000000000000a,11,162.3904467,408.927124,160,22.16548786,1.12,15,ice,6,4,2,,0.975392988,,"{""type"":""Point"",""coordinates"":[-118.76029516337375,34.51833824662779]}"
