standtype,lifeform,status,site,rep,site_rep,count_per_transect,percentcover
matrix,grass,nonnative,ENH2,4,ENH2_4,36,0.87804878
matrix,grass,nonnative,ENH2,5,ENH2_5,34,0.829268293
matrix,grass,nonnative,ENH2,6,ENH2_6,34,0.829268293
degraded,herb,native,DEG1,1,DEG1_1,4,0.097560976
degraded,herb,native,DEG1,2,DEG1_2,2,0.048780488
degraded,herb,native,DEG1,3,DEG1_3,0,0
degraded,herb,native,DEG1,4,DEG2_4,0,0
degraded,herb,native,DEG2,5,DEG2_5,1,0.024390244
degraded,herb,native,DEG2,6,DEG2_6,2,0.048780488
intact,herb,native,Intact_1,1,Intact_1_1,2,0.048780488
intact,herb,native,Intact_2,2,Intact_2_2,6,0.146341463
intact,herb,native,Intact_3,3,Intact_3_3,0,0
matrix,herb,native,ENH1,1,ENH1_1,5,0.12195122
matrix,herb,native,ENH1,2,ENH1_2,6,0.146341463
matrix,herb,native,ENH1,3,ENH1_3,4,0.097560976
matrix,herb,native,ENH2,4,ENH2_4,3,0.073170732
matrix,herb,native,ENH2,5,ENH2_5,1,0.024390244
matrix,herb,native,ENH2,6,ENH2_6,0,0
degraded,herb,nonnative,DEG1,1,DEG1_1,33,0.804878049
degraded,herb,nonnative,DEG1,2,DEG1_2,25,0.609756098
degraded,herb,nonnative,DEG1,3,DEG1_3,12,0.292682927
degraded,herb,nonnative,DEG2,4,DEG2_4,14,0.341463415
degraded,herb,nonnative,DEG2,5,DEG2_5,24,0.585365854
degraded,herb,nonnative,DEG2,6,DEG2_6,19,0.463414634
intact,herb,nonnative,Intact_1,1,Intact_1_1,1,0.024390244
intact,herb,nonnative,Intact_2,2,Intact_2_2,0,0
intact,herb,nonnative,Intact_3,3,Intact_3_3,0,0
matrix,herb,nonnative,ENH1,1,ENH1_1,12,0.292682927
matrix,herb,nonnative,ENH1,2,ENH1_2,9,0.219512195
matrix,herb,nonnative,ENH1,3,ENH1_3,15,0.365853659
matrix,herb,nonnative,ENH2,4,ENH2_4,1,0.024390244
matrix,herb,nonnative,ENH2,5,ENH2_5,6,0.146341463
matrix,herb,nonnative,ENH2,6,ENH2_6,1,0.024390244
degraded,shrub,native,DEG1,1,DEG1_1,16,0.390243902
degraded,shrub,native,DEG1,2,DEG1_2,16,0.390243902
degraded,shrub,native,DEG1,3,DEG1_3,8,0.195121951
degraded,shrub,native,DEG2,4,DEG2_4,11,0.268292683
degraded,shrub,native,DEG2,5,DEG2_5,9,0.219512195
degraded,shrub,native,DEG2,6,DEG2_6,7,0.170731707
intact,shrub,native,Intact_1,1,Intact_1_1,29,0.707317073
intact,shrub,native,Intact_2,2,Intact_2_2,29,0.707317073
intact,shrub,native,Intact_3,3,Intact_3_3,39,0.951219512
matrix,shrub,native,ENH1,1,ENH1_1,22,0.536585366
matrix,shrub,native,ENH1,2,ENH1_2,24,0.585365854
matrix,shrub,native,ENH1,3,ENH1_3,33,0.804878049
matrix,shrub,native,ENH2,4,ENH2_4,17,0.414634146
matrix,shrub,native,ENH2,5,ENH2_5,12,0.292682927
matrix,shrub,native,ENH2,6,ENH2_6,19,0.463414634
degraded,shrub,nonnative,DEG1,1,DEG1_1,0,0
degraded,shrub,nonnative,DEG1,2,DEG1_2,0,0
degraded,shrub,nonnative,DEG1,3,DEG1_3,0,0
degraded,shrub,nonnative,DEG2,4,DEG2_4,0,0
degraded,shrub,nonnative,DEG2,5,DEG2_5,0,0
degraded,shrub,nonnative,DEG2,6,DEG2_6,0,0
intact,shrub,nonnative,Intact_1,1,Intact_1_1,0,0
intact,shrub,nonnative,Intact_2,2,Intact_2_2,0,0
intact,shrub,nonnative,Intact_3,3,Intact_3_3,0,0
matrix,shrub,nonnative,ENH1,1,ENH1_1,0,0
matrix,shrub,nonnative,ENH1,2,ENH1_2,0,0
matrix,shrub,nonnative,ENH1,3,ENH1_3,0,0
matrix,shrub,nonnative,ENH2,4,ENH2_4,0,0
matrix,shrub,nonnative,ENH2,5,ENH2_5,0,0
matrix,shrub,nonnative,ENH2,6,ENH2_6,0,0
