standtype,site,rep,distance,vertical,species,code,lifeform,status,lifecycle,Family
degraded,DEG1,1,27,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,27,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,27,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,1,27,4,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,27,5,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,1,27,6,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,27,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,28,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae
degraded,DEG1,1,28,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,28,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,1,28,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,29,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,29,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,29,3,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,29,4,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,29,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,30,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,30,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,30,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,1,30,4,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,30,5,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,1,30,6,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,30,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,31,1,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,31,2,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,31,3,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,31,4,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,1,31,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,32,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,32,2,Acmispon maritimus,ACMA,herb,native,annual,Fabaceae
degraded,DEG1,1,32,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,1,32,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,33,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,33,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,1,33,3,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,33,4,Avena barbata,avena,grass,nonnative,annual,Poaceae
degraded,DEG1,1,33,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,34,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,34,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,34,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,35,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae
degraded,DEG1,1,35,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,35,ground,n/a,bare_ground,ground,ground,ground,ground
degraded,DEG1,1,36,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,36,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,1,36,3,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,36,4,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,1,36,5,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,36,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,37,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,37,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,37,3,Lupinus spp.,lupine,herb,native,annual,Fabaceae
degraded,DEG1,1,37,4,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,37,5,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,1,37,6,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,37,ground,n/a,bare_ground,ground,ground,ground,ground
degraded,DEG1,1,38,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,38,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,38,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,39,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,39,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,1,39,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,40,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,40,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,40,3,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,40,4,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,40,5,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,1,40,6,Avena barbata,avena,grass,nonnative,annual,Poaceae
degraded,DEG1,1,40,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,41,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,41,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,41,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,1,41,4,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,41,5,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,1,41,6,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,41,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,1,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,2,1,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,2,1,3,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,1,ground,n/a,bare_ground,ground,ground,ground,ground
degraded,DEG1,2,2,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,2,2,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,2,2,3,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,2,2,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,3,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,2,3,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,2,3,3,,HIIN dead,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,3,4,Avena barbata,avena,grass,nonnative,annual,Poaceae
degraded,DEG1,2,3,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,4,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,2,4,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,4,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,2,4,4,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,4,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,5,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,2,5,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,2,5,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,6,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,2,6,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,2,6,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,7,1,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,2,7,ground,n/a,native_litter,ground,ground,ground,ground
degraded,DEG1,2,8,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,2,8,2,Artemisia californica,ARCA,shrub,native,perennial,Asteraceae
degraded,DEG1,2,8,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,9,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,2,9,2,Artemisia californica,ARCA,shrub,native,perennial,Asteraceae
degraded,DEG1,2,9,3,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,9,4,Artemisia californica,ARCA,shrub,native,perennial,Asteraceae
degraded,DEG1,2,9,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,10,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,2,10,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,10,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,2,10,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,11,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,2,11,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,2,11,3,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,2,11,4,Avena barbata,avena,grass,nonnative,annual,Poaceae
degraded,DEG1,2,11,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,12,1,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,12,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,2,12,3,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,12,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,13,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,2,13,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,2,13,3,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,13,4,Avena barbata,avena,grass,nonnative,annual,Poaceae
degraded,DEG1,2,13,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,14,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,2,14,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,2,14,3,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,14,4,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,2,14,5,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,14,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,15,1,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,15,2,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,2,15,3,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,15,4,Avena barbata,avena,grass,nonnative,annual,Poaceae
degraded,DEG1,2,15,5,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,15,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,16,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,2,16,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,2,16,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,17,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,2,17,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,17,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,2,17,4,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,17,5,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,2,17,6,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,17,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,18,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae
degraded,DEG1,2,18,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,18,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,2,18,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,19,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae
degraded,DEG1,2,19,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,19,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,2,19,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,20,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae
degraded,DEG1,2,20,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,20,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,2,20,4,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,20,5,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,2,20,6,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,20,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,21,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae
degraded,DEG1,2,21,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,21,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,22,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae
degraded,DEG1,2,22,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,22,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,2,22,4,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,2,22,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,23,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae
degraded,DEG1,2,23,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,24,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae
degraded,DEG1,2,24,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,25,1,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,2,25,ground,n/a,bare_ground,ground,ground,ground,ground
degraded,DEG1,2,26,1,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,2,26,ground,n/a,native_litter,ground,ground,ground,ground
degraded,DEG1,2,27,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae
degraded,DEG1,2,27,2,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,2,27,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,2,27,4,Avena barbata,avena,grass,nonnative,annual,Poaceae
degraded,DEG1,2,27,5,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,2,27,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,28,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae
degraded,DEG1,2,28,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,2,28,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,2,28,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,2,29,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae
degraded,DEG1,2,29,2,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
