date,name,year,site,transect,distance,vertical,species,species_code,max_height_cm,Notes,standtype,hillslope,coordinates_x,coordinates_y
10-Apr-24,"Kit, Carla",2024,2,7,5,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,5,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,5,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,5,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,5,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,6,1,Bromus rubens BRRU,brru,27,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,6,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,6,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,6,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,6,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,6,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,6,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,7,1,Bromus rubens BRRU,brru,35,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,7,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,7,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,7,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,7,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,7,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,7,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,8,1,Avena barbata,avba,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,8,2,Bromus rubens BRRU,brru,35,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,8,2,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,8,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,8,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,8,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,8,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,8,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,8,ground,litter,litter,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,8,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,9,1,Avena barbata,avba,136,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,9,2,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,9,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,9,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,9,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,9,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,9,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,9,ground,litter,litter,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,9,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,10,1,Phacelia hubbyi,phta,,corrected ID to PHHU by Carla,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,10,2,Avena barbata,avba,166,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,10,2,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,10,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,10,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,10,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,10,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,10,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,10,ground,litter,litter,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,10,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,11,1,Avena barbata,avba,127,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,11,2,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,11,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,11,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,11,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,11,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,11,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,11,ground,litter,litter,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,11,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,12,1,Phacelia hubbyi,phtan,,corrected ID to PHHU by Carla,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,12,2,Avena barbata,avba,149,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,12,2,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,12,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,12,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,12,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,12,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,12,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,12,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,13,1,Bromus diandrus BRDI,brdi,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,13,2,Avena barbata,avba,105,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,13,2,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,13,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,13,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,13,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,13,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,13,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,13,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,14,1,Bromus rubens BRRU,brru,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,14,2,Bromus diandrus BRDI,brdi,100,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,14,2,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,14,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,14,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,14,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,14,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,14,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,14,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,15,1,Bromus diandrus BRDI,brdi,84,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,15,2,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,15,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,15,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,15,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,15,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,15,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,15,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,16,1,Phacelia hubbyi,phhu,,recorded: PHDI,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,16,2,Bromus rubens BRRU,brru,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,16,2,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,16,3,Avena barbata,avba,73,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,16,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,16,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,16,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,16,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,16,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,16,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,17,1,Bromus rubens BRRU,brru,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,17,2,Bromus diandrus BRDI,brdi,72,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,17,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,17,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,17,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,17,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,17,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,17,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,18,1,Bromus rubens BRRU,brru,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,18,2,Mirabilis laevis,MICA,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,18,2,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,18,3,Avena barbata,avba,82,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,18,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,18,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,18,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,18,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,18,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,18,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,19,1,Mirabilis laevis,mica,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,19,2,Bromus rubens BRRU,brru,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,19,3,Avena barbata,avba,98,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,19,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,19,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,19,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,19,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,19,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,19,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,20,1,Mirabilis laevis,mica,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,20,2,Bromus rubens BRRU,brru,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,20,2,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,20,3,Avena barbata,avba,180,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,20,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,20,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,20,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,20,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,20,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,20,ground,litter,litter,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,20,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,21,1,Avena barbata,avba,132,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,21,2,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,21,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,21,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,21,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,21,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,21,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,21,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,22,1,Bromus rubens BRRU,brru,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,22,2,Avena barbata,avba,138,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,22,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,22,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,22,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,22,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,22,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,22,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,23,1,Bromus rubens BRRU,brru,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,23,2,Avena barbata,avba,95,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,23,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,23,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,23,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,23,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,23,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,23,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,24,1,Bromus rubens BRRU,brru,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,24,2,Avena barbata,avba,80,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,24,2,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,24,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,24,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,24,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,24,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,24,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,24,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,25,1,Bromus rubens BRRU,brru,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,25,2,Bromus diandrus BRDI,brdi,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,25,3,Avena barbata,avba,100,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,25,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,25,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,25,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,25,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,25,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,25,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,26,1,Bromus diandrus BRDI,brdi,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,26,2,Avena barbata,avba,95,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,26,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,26,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,26,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,26,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,26,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,27,1,Bromus diandrus BRDI,brdi,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,27,2,Avena barbata,avba,115,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,27,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,27,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,27,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,27,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,27,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,27,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,28,1,Avena barbata,avba,117,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,28,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,28,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,28,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,28,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,28,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,29,1,Avena barbata,avba,128,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,29,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,29,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,29,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,29,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,29,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,29,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,30,1,Bromus diandrus BRDI,brdi,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,30,2,Avena barbata,avba,115,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,30,2,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,30,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,30,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,30,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,30,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,30,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,30,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,31,1,Bromus rubens BRRU,brru,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,31,2,Avena barbata,avba,124,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,31,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,31,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,31,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,31,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,31,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,31,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,32,1,Bromus rubens BRRU,brru,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,32,2,Avena barbata,avba,109,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,32,2,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,32,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,32,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,32,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,32,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,32,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,32,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,33,1,Bromus rubens BRRU,brru,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,33,2,Avena barbata,avba,104,no max height recorded. S: estimated half way between AVBA heights to either side,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,33,2,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,33,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,33,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,33,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,33,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,33,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,33,ground,rock,rock,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,34,1,Avena barbata,avba,100,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,34,2,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,34,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,34,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,34,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,34,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,34,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,34,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,35,1,Bromus rubens BRRU,brru,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,35,2,Malacothamnus fasciculatus ,mafa,138,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,35,2,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,35,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,35,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,35,5,,,,,degraded,DEG2,,
