"","standtype","rep","site","status","lifeform","family","species","lifespan","site_rep","site_rep_species"
"37","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"38","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"39","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"40","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"41","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"42","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"43","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"44","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"45","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"46","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"47","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"48","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"49","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"50","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"51","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"52","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"53","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"54","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"55","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"56","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"57","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"58","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"59","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"60","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"61","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"62","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"63","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"64","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"65","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"66","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"67","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"68","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"69","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"70","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"71","intact",3,"Intact3","native","shrub","Asteraceae","Artemisia californica","perennial","Intact3_3","Intact3_3_Artemisia californica"
"72","intact",3,"Intact3","native","shrub","Asteraceae","Artemisia californica","perennial","Intact3_3","Intact3_3_Artemisia californica"
"73","intact",3,"Intact3","native","shrub","Asteraceae","Artemisia californica","perennial","Intact3_3","Intact3_3_Artemisia californica"
"74","intact",3,"Intact3","native","shrub","Asteraceae","Artemisia californica","perennial","Intact3_3","Intact3_3_Artemisia californica"
"75","intact",3,"Intact3","native","shrub","Asteraceae","Artemisia californica","perennial","Intact3_3","Intact3_3_Artemisia californica"
"76","intact",3,"Intact3","native","shrub","Asteraceae","Artemisia californica","perennial","Intact3_3","Intact3_3_Artemisia californica"
"77","intact",3,"Intact3","native","shrub","Asteraceae","Artemisia californica","perennial","Intact3_3","Intact3_3_Artemisia californica"
"78","intact",3,"Intact3","native","shrub","Asteraceae","Artemisia californica","perennial","Intact3_3","Intact3_3_Artemisia californica"
"79","matrix",3,"ENH1","native","shrub","Asteraceae","Artemisia californica","perennial","ENH1_3","ENH1_3_Artemisia californica"
"80","matrix",3,"ENH1","native","shrub","Asteraceae","Artemisia californica","perennial","ENH1_3","ENH1_3_Artemisia californica"
"81","matrix",3,"ENH1","native","shrub","Asteraceae","Artemisia californica","perennial","ENH1_3","ENH1_3_Artemisia californica"
"82","matrix",3,"ENH1","native","shrub","Asteraceae","Artemisia californica","perennial","ENH1_3","ENH1_3_Artemisia californica"
"83","degraded",1,"DEG1","non-native","grass","Poaceae","Avena barbata","annual","DEG1_1","DEG1_1_Avena barbata"
"84","degraded",3,"DEG1","non-native","grass","Poaceae","Avena barbata","annual","DEG1_3","DEG1_3_Avena barbata"
"85","intact",1,"Intact1","non-native","grass","Poaceae","Avena barbata","annual","Intact1_1","Intact1_1_Avena barbata"
"86","degraded",2,"DEG1","native","shrub","Asteraceae","Baccharis pilularis","perennial","DEG1_2","DEG1_2_Baccharis pilularis"
"87","matrix",3,"ENH1","native","shrub","Asteraceae","Baccharis pilularis","perennial","ENH1_3","ENH1_3_Baccharis pilularis"
"88","degraded",5,"DEG2","native","herb","Amaranthaceae","Chenopodium californicum","perennial","DEG2_5","DEG2_5_Chenopodium californicum"
"89","degraded",6,"DEG2","native","herb","Amaranthaceae","Chenopodium californicum","perennial","DEG2_6","DEG2_6_Chenopodium californicum"
"90","intact",1,"Intact1","non-native","grass","Poaceae","Bromus diandrus","annual","Intact1_1","Intact1_1_Bromus diandrus"
"91","intact",2,"Intact2","non-native","grass","Poaceae","Bromus diandrus","annual","Intact2_2","Intact2_2_Bromus diandrus"
"92","intact",3,"Intact3","non-native","grass","Poaceae","Bromus diandrus","annual","Intact3_3","Intact3_3_Bromus diandrus"
"93","intact",3,"Intact3","non-native","grass","Poaceae","Bromus hordeaceus","annual","Intact3_3","Intact3_3_Bromus hordeaceus"
"94","intact",3,"Intact3","non-native","grass","Poaceae","Bromus rubens","annual","Intact3_3","Intact3_3_Bromus rubens"
"95","degraded",1,"DEG1","non-native","grass","Poaceae","Bromus rubens","annual","DEG1_1","DEG1_1_Bromus rubens"
"96","degraded",3,"DEG1","non-native","grass","Poaceae","Bromus rubens","annual","DEG1_3","DEG1_3_Bromus rubens"
"97","intact",1,"Intact1","non-native","grass","Poaceae","Bromus rubens","annual","Intact1_1","Intact1_1_Bromus rubens"
"98","intact",2,"Intact2","non-native","grass","Poaceae","Bromus rubens","annual","Intact2_2","Intact2_2_Bromus rubens"
"99","matrix",1,"ENH1","native","herb","Convolvulaceae","Calystegia macrostegia","perennial","ENH1_1","ENH1_1_Calystegia macrostegia"
"100","matrix",1,"ENH1","native","herb","Liliaceae","Calochortus clavatus","perennial","ENH1_1","ENH1_1_Calochortus clavatus"
"101","intact",2,"Intact2","native","herb","Liliaceae","Calochortus clavatus","perennial","Intact2_2","Intact2_2_Calochortus clavatus"
"102","intact",1,"Intact1","native","herb","Asteraceae","Carduus pycnocephalus","annual","Intact1_1","Intact1_1_Carduus pycnocephalus"
"103","intact",3,"Intact3","native","shrub","Rhamnaceae","Cenothus oliganthus","perennial","Intact3_3","Intact3_3_Cenothus oliganthus"
"104","intact",3,"Intact3","native","shrub","Rhamnaceae","Cenothus oliganthus","perennial","Intact3_3","Intact3_3_Cenothus oliganthus"
"105","intact",1,"Intact1","native","herb","Agavaceae","Chlorogalum pomeridianum","perennial","Intact1_1","Intact1_1_Chlorogalum pomeridianum"
"106","intact",2,"Intact2","native","herb","Apiaceae","Apiastrum angustifolium","annual","Intact2_2","Intact2_2_Apiastrum angustifolium"
"107","matrix",2,"ENH1","native","herb","Montiaceae","Claytonia perfoliata","annual","ENH1_2","ENH1_2_Claytonia perfoliata"
"108","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"109","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"110","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"111","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"112","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"113","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"114","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"115","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"116","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"117","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"118","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"119","intact",3,"Intact3","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","Intact3_3","Intact3_3_Eriodictyon crassifolium"
"120","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"121","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"122","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"123","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"124","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"125","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"126","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"127","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"128","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"129","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"130","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"131","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"132","matrix",3,"ENH1","native","shrub","Namaceae","Eriodictyon crassifolium","perennial","ENH1_3","ENH1_3_Eriodictyon crassifolium"
"133","degraded",4,"DEG2","native","shrub","Polygonaceae","Eriogonum fasciculatum","perennial","DEG2_4","DEG2_4_Eriogonum fasciculatum"
"134","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"135","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"136","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"137","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"138","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"139","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"140","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"141","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"142","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"143","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"144","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"145","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"146","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"147","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"148","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"149","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"150","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"151","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"152","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"153","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"154","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"155","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"156","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"157","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"158","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"159","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"160","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"161","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"162","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"163","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"164","intact",1,"Intact1","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact1_1","Intact1_1_Heteromeles arbutifolia"
"165","intact",2,"Intact2","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact2_2","Intact2_2_Heteromeles arbutifolia"
"166","intact",2,"Intact2","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact2_2","Intact2_2_Heteromeles arbutifolia"
"167","intact",2,"Intact2","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact2_2","Intact2_2_Heteromeles arbutifolia"
"168","intact",2,"Intact2","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact2_2","Intact2_2_Heteromeles arbutifolia"
"169","intact",2,"Intact2","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact2_2","Intact2_2_Heteromeles arbutifolia"
"170","intact",2,"Intact2","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact2_2","Intact2_2_Heteromeles arbutifolia"
"171","intact",2,"Intact2","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact2_2","Intact2_2_Heteromeles arbutifolia"
"172","intact",2,"Intact2","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact2_2","Intact2_2_Heteromeles arbutifolia"
"173","intact",2,"Intact2","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact2_2","Intact2_2_Heteromeles arbutifolia"
"174","intact",3,"Intact3","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact3_3","Intact3_3_Heteromeles arbutifolia"
"175","intact",3,"Intact3","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact3_3","Intact3_3_Heteromeles arbutifolia"
"176","intact",3,"Intact3","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact3_3","Intact3_3_Heteromeles arbutifolia"
"177","intact",3,"Intact3","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact3_3","Intact3_3_Heteromeles arbutifolia"
"178","intact",3,"Intact3","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact3_3","Intact3_3_Heteromeles arbutifolia"
"179","intact",3,"Intact3","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact3_3","Intact3_3_Heteromeles arbutifolia"
"180","intact",3,"Intact3","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact3_3","Intact3_3_Heteromeles arbutifolia"
"181","intact",3,"Intact3","native","shrub","Rosaceae","Heteromeles arbutifolia","perennial","Intact3_3","Intact3_3_Heteromeles arbutifolia"
"182","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"183","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"184","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"185","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"186","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"187","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"188","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"189","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"190","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"191","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"192","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"193","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"194","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"195","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"196","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"197","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"198","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"199","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"200","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"201","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"202","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"203","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"204","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
"205","matrix",3,"ENH1","native","shrub","Malvaceae","Malacothamnus fasciculatus","perennial","ENH1_3","ENH1_3_Malacothamnus fasciculatus"
