"","standtype","site","rep","species","lifeform","status","lifecycle","family","site_rep","site_rep_species","count_per_transect","percentcover_native","native_fern","native_forb","native_grass","native_shrub","nonnative_fern","nonnative_forb","nonnative_grass","nonnative_shrub","percentcover_nonnative"
"18","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"19","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"20","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"21","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"22","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"23","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"24","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"25","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"26","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"27","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"28","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"29","degraded","DEG1",1,"Erodium spp.","herb","nonnative","annual","Geraniaceae","DEG1_1","DEG1_1_Erodium spp.",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"30","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"31","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"32","degraded","DEG1",1,"Dipterostemon capitatus","herb","native","perennial","Themidaceae","DEG1_1","DEG1_1_Dipterostemon capitatus",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"33","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"34","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"35","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"36","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"37","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"38","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"39","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"40","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"41","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"42","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"43","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"44","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"45","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"46","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"47","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"48","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"49","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"50","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"51","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"52","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"53","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"54","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"55","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"56","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"57","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"58","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"59","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"60","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"61","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"62","degraded","DEG1",1,"Erodium spp.","herb","nonnative","annual","Geraniaceae","DEG1_1","DEG1_1_Erodium spp.",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"63","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"64","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"65","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"66","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"67","degraded","DEG1",1,"Artemisia californica","shrub","native","perennial","Asteraceae","DEG1_1","DEG1_1_Artemisia californica",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"68","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"69","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"70","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"71","degraded","DEG1",1,"Artemisia californica","shrub","native","perennial","Asteraceae","DEG1_1","DEG1_1_Artemisia californica",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"72","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"73","degraded","DEG1",1,"Erodium spp.","herb","nonnative","annual","Geraniaceae","DEG1_1","DEG1_1_Erodium spp.",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"74","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"75","degraded","DEG1",1,"Artemisia californica","shrub","native","perennial","Asteraceae","DEG1_1","DEG1_1_Artemisia californica",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"76","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"77","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"78","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"79","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"80","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"81","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"82","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"83","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"84","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"85","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"86","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"87","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"88","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"89","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"90","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"91","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"92","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"93","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"94","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"95","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"96","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"97","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"98","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"99","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"100","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"101","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"102","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"103","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"104","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"105","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"106","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"107","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"108","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"109","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"110","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"111","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"112","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"113","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"114","degraded","DEG1",1,"Acmispon maritimus","herb","native","annual","Fabaceae","DEG1_1","DEG1_1_Acmispon maritimus",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"115","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"116","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"117","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"118","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"119","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"120","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"121","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"122","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"123","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"124","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"125","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"126","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"127","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"128","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"129","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"130","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
