standtype,site,rep,species,lifeform,status,lifecycle,family,site_rep
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,2,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_2
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG1,3,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_3
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,4,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_4
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,5,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_5
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
degraded,DEG2,6,Avena barbata,grass,nonnative,annual,Poaceae,DEG2_6
matrix,ENH1,1,Avena barbata,grass,nonnative,annual,Poaceae,ENH1_1
matrix,ENH1,1,Avena barbata,grass,nonnative,annual,Poaceae,ENH1_1
matrix,ENH1,1,Avena barbata,grass,nonnative,annual,Poaceae,ENH1_1
matrix,ENH1,1,Avena barbata,grass,nonnative,annual,Poaceae,ENH1_1
matrix,ENH1,1,Avena barbata,grass,nonnative,annual,Poaceae,ENH1_1
