"","standtype","site","rep","species","lifeform","status","lifecycle","family","site_rep","site_rep_species"
"23","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"24","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"25","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla"
"26","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"27","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"28","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"29","degraded","DEG1",1,"Erodium spp.","herb","nonnative","annual","Geraniaceae","DEG1_1","DEG1_1_Erodium spp."
"30","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"31","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla"
"32","degraded","DEG1",1,"Dipterostemon capitatus","herb","native","perennial","Themidaceae","DEG1_1","DEG1_1_Dipterostemon capitatus"
"33","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"34","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"35","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"36","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"37","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"38","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"39","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"40","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"41","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"42","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"43","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"44","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"45","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"46","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"47","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"48","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"49","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"50","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"51","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla"
"52","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"53","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"54","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"55","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"56","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla"
"57","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"58","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"59","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"60","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"61","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla"
"62","degraded","DEG1",1,"Erodium spp.","herb","nonnative","annual","Geraniaceae","DEG1_1","DEG1_1_Erodium spp."
"63","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla"
"64","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"65","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"66","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla"
"67","degraded","DEG1",1,"Artemisia californica","shrub","native","perennial","Asteraceae","DEG1_1","DEG1_1_Artemisia californica"
"68","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"69","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"70","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"71","degraded","DEG1",1,"Artemisia californica","shrub","native","perennial","Asteraceae","DEG1_1","DEG1_1_Artemisia californica"
"72","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"73","degraded","DEG1",1,"Erodium spp.","herb","nonnative","annual","Geraniaceae","DEG1_1","DEG1_1_Erodium spp."
"74","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"75","degraded","DEG1",1,"Artemisia californica","shrub","native","perennial","Asteraceae","DEG1_1","DEG1_1_Artemisia californica"
"76","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"77","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"78","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"79","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla"
"80","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"81","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"82","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla"
"83","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"84","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"85","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"86","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"87","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"88","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"89","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"90","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"91","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"92","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla"
"93","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"94","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla"
"95","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"96","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"97","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"98","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"99","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"100","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"101","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"102","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"103","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"104","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"105","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla"
"106","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"107","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla"
"108","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"109","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"110","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"111","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"112","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla"
"113","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"114","degraded","DEG1",1,"Acmispon maritimus","herb","native","annual","Fabaceae","DEG1_1","DEG1_1_Acmispon maritimus"
"115","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"116","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"117","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"118","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"119","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"120","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"121","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"122","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"123","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"124","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"125","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla"
"126","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"127","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla"
"128","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"129","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"130","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"131","degraded","DEG1",1,"Lupinus spp.","herb","native","annual","Fabaceae","DEG1_1","DEG1_1_Lupinus spp."
"132","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"133","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"134","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"135","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"136","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"137","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"138","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"139","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"140","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"141","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"142","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"143","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla"
"144","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"145","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"146","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"147","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"148","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"149","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"150","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"151","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Bromus rubens"
"152","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Avena barbata"
"153","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_Hirschfeldia incana"
"154","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Bromus rubens"
"155","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_2","DEG1_2_Salvia leucophylla"
"156","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Bromus rubens"
"157","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Bromus rubens"
"158","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Avena barbata"
"159","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_Hirschfeldia incana"
"160","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Avena barbata"
"161","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Bromus rubens"
"162","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_Hirschfeldia incana"
"163","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Avena barbata"
"164","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_Hirschfeldia incana"
"165","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Bromus rubens"
"166","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Avena barbata"
"167","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Bromus rubens"
"168","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Avena barbata"
"169","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_2","DEG1_2_Salvia leucophylla"
"170","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Bromus rubens"
"171","degraded","DEG1",2,"Artemisia californica","shrub","native","perennial","Asteraceae","DEG1_2","DEG1_2_Artemisia californica"
"172","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Bromus rubens"
"173","degraded","DEG1",2,"Artemisia californica","shrub","native","perennial","Asteraceae","DEG1_2","DEG1_2_Artemisia californica"
"174","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_Hirschfeldia incana"
"175","degraded","DEG1",2,"Artemisia californica","shrub","native","perennial","Asteraceae","DEG1_2","DEG1_2_Artemisia californica"
"176","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Bromus rubens"
"177","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_Hirschfeldia incana"
"178","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Avena barbata"
"179","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Bromus rubens"
"180","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Avena barbata"
"181","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Bromus rubens"
"182","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Avena barbata"
"183","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_Hirschfeldia incana"
"184","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Avena barbata"
"185","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_Hirschfeldia incana"
"186","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Bromus rubens"
"187","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_2","DEG1_2_Salvia leucophylla"
"188","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_Hirschfeldia incana"
"189","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Avena barbata"
"190","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Bromus rubens"
"191","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_2","DEG1_2_Salvia leucophylla"
"192","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_Hirschfeldia incana"
"193","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_2","DEG1_2_Salvia leucophylla"
"194","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_Hirschfeldia incana"
"195","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_Hirschfeldia incana"
"196","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Bromus rubens"
"197","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_Hirschfeldia incana"
"198","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Avena barbata"
"199","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_Hirschfeldia incana"
"200","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Bromus rubens"
"201","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_2","DEG1_2_Salvia leucophylla"
"202","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Bromus rubens"
"203","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_Hirschfeldia incana"
"204","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_2","DEG1_2_Salvia leucophylla"
"205","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_Hirschfeldia incana"
"206","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_2","DEG1_2_Salvia leucophylla"
"207","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_Hirschfeldia incana"
"208","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Avena barbata"
"209","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_Hirschfeldia incana"
"210","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Avena barbata"
"211","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_Avena barbata"
