"","standtype","site","rep","site_rep","family","status","percent_cover"
"65","matrix","ENH2",5,"ENH2_5","Poaceae","nonnative",64.1509433962264
"66","matrix","ENH2",6,"ENH2_6","Asteraceae","native",3.2258064516129
"67","matrix","ENH2",6,"ENH2_6","Asteraceae","nonnative",1.61290322580645
"68","matrix","ENH2",6,"ENH2_6","Lamiaceae","native",12.9032258064516
"69","matrix","ENH2",6,"ENH2_6","Malvaceae","native",27.4193548387097
"70","matrix","ENH2",6,"ENH2_6","Poaceae","nonnative",54.8387096774194
"71","degraded","DEG1",1,"DEG1_1","Asteraceae","native",3.09278350515464
"72","degraded","DEG1",1,"DEG1_1","Brassicaceae","nonnative",32.9896907216495
"73","degraded","DEG1",1,"DEG1_1","Fabaceae","native",3.09278350515464
"74","degraded","DEG1",1,"DEG1_1","Geraniaceae","nonnative",3.09278350515464
"75","degraded","DEG1",1,"DEG1_1","Lamiaceae","native",14.4329896907216
"76","degraded","DEG1",1,"DEG1_1","Poaceae","nonnative",42.2680412371134
"77","degraded","DEG1",1,"DEG1_1","Themidaceae","native",1.03092783505155
"78","degraded","DEG1",2,"DEG1_2","Asteraceae","native",2.46913580246914
"79","degraded","DEG1",2,"DEG1_2","Brassicaceae","nonnative",30.8641975308642
"80","degraded","DEG1",2,"DEG1_2","Fabaceae","native",2.46913580246914
"81","degraded","DEG1",2,"DEG1_2","Geraniaceae","nonnative",1.23456790123457
"82","degraded","DEG1",2,"DEG1_2","Lamiaceae","native",17.283950617284
"83","degraded","DEG1",2,"DEG1_2","Poaceae","nonnative",45.679012345679
"84","degraded","DEG1",3,"DEG1_3","Asteraceae","native",3.33333333333333
"85","degraded","DEG1",3,"DEG1_3","Brassicaceae","nonnative",20
"86","degraded","DEG1",3,"DEG1_3","Lamiaceae","native",8.33333333333333
"87","degraded","DEG1",3,"DEG1_3","Malvaceae","native",1.66666666666667
"88","degraded","DEG1",3,"DEG1_3","Poaceae","nonnative",66.6666666666667
"89","degraded","DEG2",4,"DEG2_4","Brassicaceae","nonnative",19.4029850746269
"90","degraded","DEG2",4,"DEG2_4","Geraniaceae","nonnative",2.98507462686567
"91","degraded","DEG2",4,"DEG2_4","Lamiaceae","native",10.4477611940298
"92","degraded","DEG2",4,"DEG2_4","Malvaceae","native",7.46268656716418
"93","degraded","DEG2",4,"DEG2_4","Poaceae","nonnative",59.7014925373134
"94","degraded","DEG2",5,"DEG2_5","Brassicaceae","nonnative",26.9230769230769
"95","degraded","DEG2",5,"DEG2_5","Fabaceae","native",1.28205128205128
"96","degraded","DEG2",5,"DEG2_5","Geraniaceae","nonnative",8.97435897435897
"97","degraded","DEG2",5,"DEG2_5","Malvaceae","native",11.5384615384615
"98","degraded","DEG2",5,"DEG2_5","Poaceae","nonnative",51.2820512820513
"99","degraded","DEG2",6,"DEG2_6","Asteraceae","native",2.94117647058824
"100","degraded","DEG2",6,"DEG2_6","Brassicaceae","nonnative",25
"101","degraded","DEG2",6,"DEG2_6","Fabaceae","native",1.47058823529412
"102","degraded","DEG2",6,"DEG2_6","Geraniaceae","nonnative",4.41176470588235
"103","degraded","DEG2",6,"DEG2_6","Malvaceae","native",7.35294117647059
"104","degraded","DEG2",6,"DEG2_6","Poaceae","native",2.94117647058824
"105","degraded","DEG2",6,"DEG2_6","Poaceae","nonnative",54.4117647058823
"106","degraded","DEG2",6,"DEG2_6","Themidaceae","native",1.47058823529412
