"","stand","site","soilcore","depth_name","treatment","rep","species_diversity","genus_abundance","lifeform","status","lifescycle","family","count","stand_core","stand_core_depth","stand_core_depth_treat"
"26","degraded","DEG1",1,"surface","control",1,"Centaurea melitensis","Centaurea melitensis","forb","nonnative","annual","Asteraceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_control"
"27","degraded","DEG1",1,"surface","control",1,"Croton setiger","Croton setiger","forb","native","annual","Euphorbiaceae  ",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_control"
"28","degraded","DEG1",1,"surface","control",1,"Cryptantha spp.","Cryptantha spp.","forb","native","annual","Boraginaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_control"
"29","degraded","DEG1",1,"surface","control",1,"Emmenanthe penduliflora","Emmenanthe penduliflora","forb","native","annual","Hydrophyllaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_control"
"30","degraded","DEG1",1,"surface","control",1,"Erigeron canadensis","Erigeron canadensis","forb","native","annual","Asteraceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_control"
"31","degraded","DEG1",1,"surface","control",1,"Erodium cicutarium","Erodium spp.","forb","nonnative","annual","Geraniaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_control"
"32","degraded","DEG1",1,"surface","control",1,"Erodium moschatum","Erodium spp.","forb","nonnative","annual","Geraniaceae",1,"DEG1_1","DEG1_1_surface","DEG1_1_surface_control"
"33","degraded","DEG1",1,"surface","control",1,"Eucrypta chrysanthemifolia","Eucrypta chrysanthemifolia","forb","native","annual","Hydrophyllaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_control"
"34","degraded","DEG1",1,"surface","control",1,"Fragaria vesca","Fragaria vesca","forb","native","perennial","Rosaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_control"
"35","degraded","DEG1",1,"surface","control",1,"Galium porrigens","Galium porrigens","forb","native","perennial","Rubiaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_control"
"36","degraded","DEG1",1,"surface","control",1,"Hirschfeldia incana","Hirschfeldia incana","forb","nonnative","annual","Brassicaceae",3,"DEG1_1","DEG1_1_surface","DEG1_1_surface_control"
"37","degraded","DEG1",1,"surface","control",1,"Malacothamnus fasciculatus","Malacothamnus fasciculatus","shrub","native","perennial","Malvaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_control"
"38","degraded","DEG1",1,"surface","control",1,"Nicotiana glauca","Nicotiana glauca","shrub","nonnative","perennial","Solanaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_control"
"39","degraded","DEG1",1,"surface","control",1,"Pseudognaphalium luteoalbum","Pseudognaphalium luteoalbum","forb","nonnative","annual","Asteraceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_control"
"40","degraded","DEG1",1,"surface","control",1,"Trifolium gracelentum","Trifolium spp.","forb","native","annual","Fabaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_control"
"41","degraded","DEG1",1,"surface","oven",1,"Acmispon maritimus","Acmispon spp.","forb","native","annual","Fabaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_oven"
"42","degraded","DEG1",1,"surface","oven",1,"Artemisia californica","Artemisia californica","shrub","native","perennial","Asteraceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_oven"
"43","degraded","DEG1",1,"surface","oven",1,"Astragalus trichopodus","Astragalus trichopodus","forb","native","perennial","Fabaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_oven"
"44","degraded","DEG1",1,"surface","oven",1,"Bromus diandrus","Bromus spp.","grass","nonnative","annual","Poaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_oven"
"45","degraded","DEG1",1,"surface","oven",1,"Bromus madritensis","Bromus spp.","grass","nonnative","annual","Poaceae",4,"DEG1_1","DEG1_1_surface","DEG1_1_surface_oven"
"46","degraded","DEG1",1,"surface","oven",1,"Centaurea melitensis","Centaurea melitensis","forb","nonnative","annual","Asteraceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_oven"
"47","degraded","DEG1",1,"surface","oven",1,"Croton setiger","Croton setiger","forb","native","annual","Euphorbiaceae  ",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_oven"
"48","degraded","DEG1",1,"surface","oven",1,"Cryptantha spp.","Cryptantha spp.","forb","native","annual","Boraginaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_oven"
"49","degraded","DEG1",1,"surface","oven",1,"Emmenanthe penduliflora","Emmenanthe penduliflora","forb","native","annual","Hydrophyllaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_oven"
"50","degraded","DEG1",1,"surface","oven",1,"Erigeron canadensis","Erigeron canadensis","forb","native","annual","Asteraceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_oven"
"51","degraded","DEG1",1,"surface","oven",1,"Erodium cicutarium","Erodium spp.","forb","nonnative","annual","Geraniaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_oven"
"52","degraded","DEG1",1,"surface","oven",1,"Erodium moschatum","Erodium spp.","forb","nonnative","annual","Geraniaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_oven"
"53","degraded","DEG1",1,"surface","oven",1,"Eucrypta chrysanthemifolia","Eucrypta chrysanthemifolia","forb","native","annual","Hydrophyllaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_oven"
"54","degraded","DEG1",1,"surface","oven",1,"Fragaria vesca","Fragaria vesca","forb","native","perennial","Rosaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_oven"
"55","degraded","DEG1",1,"surface","oven",1,"Galium porrigens","Galium porrigens","forb","native","perennial","Rubiaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_oven"
"56","degraded","DEG1",1,"surface","oven",1,"Hirschfeldia incana","Hirschfeldia incana","forb","nonnative","annual","Brassicaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_oven"
"57","degraded","DEG1",1,"surface","oven",1,"Malacothamnus fasciculatus","Malacothamnus fasciculatus","shrub","native","perennial","Malvaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_oven"
"58","degraded","DEG1",1,"surface","oven",1,"Nicotiana glauca","Nicotiana glauca","shrub","nonnative","perennial","Solanaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_oven"
"59","degraded","DEG1",1,"surface","oven",1,"Pseudognaphalium luteoalbum","Pseudognaphalium luteoalbum","forb","nonnative","annual","Asteraceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_oven"
"60","degraded","DEG1",1,"surface","oven",1,"Trifolium gracelentum","Trifolium spp.","forb","native","annual","Fabaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_oven"
"61","degraded","DEG1",1,"surface","ovenchar",1,"Acmispon maritimus","Acmispon spp.","forb","native","annual","Fabaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_ovenchar"
"62","degraded","DEG1",1,"surface","ovenchar",1,"Artemisia californica","Artemisia californica","shrub","native","perennial","Asteraceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_ovenchar"
"63","degraded","DEG1",1,"surface","ovenchar",1,"Astragalus trichopodus","Astragalus trichopodus","forb","native","perennial","Fabaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_ovenchar"
"64","degraded","DEG1",1,"surface","ovenchar",1,"Bromus diandrus","Bromus spp.","grass","nonnative","annual","Poaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_ovenchar"
"65","degraded","DEG1",1,"surface","ovenchar",1,"Bromus madritensis","Bromus spp.","grass","nonnative","annual","Poaceae",4,"DEG1_1","DEG1_1_surface","DEG1_1_surface_ovenchar"
"66","degraded","DEG1",1,"surface","ovenchar",1,"Centaurea melitensis","Centaurea melitensis","forb","nonnative","annual","Asteraceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_ovenchar"
"67","degraded","DEG1",1,"surface","ovenchar",1,"Croton setiger","Croton setiger","forb","native","annual","Euphorbiaceae  ",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_ovenchar"
"68","degraded","DEG1",1,"surface","ovenchar",1,"Cryptantha spp.","Cryptantha spp.","forb","native","annual","Boraginaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_ovenchar"
"69","degraded","DEG1",1,"surface","ovenchar",1,"Emmenanthe penduliflora","Emmenanthe penduliflora","forb","native","annual","Hydrophyllaceae",1,"DEG1_1","DEG1_1_surface","DEG1_1_surface_ovenchar"
"70","degraded","DEG1",1,"surface","ovenchar",1,"Erigeron canadensis","Erigeron canadensis","forb","native","annual","Asteraceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_ovenchar"
"71","degraded","DEG1",1,"surface","ovenchar",1,"Erodium cicutarium","Erodium spp.","forb","nonnative","annual","Geraniaceae",1,"DEG1_1","DEG1_1_surface","DEG1_1_surface_ovenchar"
"72","degraded","DEG1",1,"surface","ovenchar",1,"Erodium moschatum","Erodium spp.","forb","nonnative","annual","Geraniaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_ovenchar"
"73","degraded","DEG1",1,"surface","ovenchar",1,"Eucrypta chrysanthemifolia","Eucrypta chrysanthemifolia","forb","native","annual","Hydrophyllaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_ovenchar"
"74","degraded","DEG1",1,"surface","ovenchar",1,"Fragaria vesca","Fragaria vesca","forb","native","perennial","Rosaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_ovenchar"
"75","degraded","DEG1",1,"surface","ovenchar",1,"Galium porrigens","Galium porrigens","forb","native","perennial","Rubiaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_ovenchar"
"76","degraded","DEG1",1,"surface","ovenchar",1,"Hirschfeldia incana","Hirschfeldia incana","forb","nonnative","annual","Brassicaceae",7,"DEG1_1","DEG1_1_surface","DEG1_1_surface_ovenchar"
"77","degraded","DEG1",1,"surface","ovenchar",1,"Malacothamnus fasciculatus","Malacothamnus fasciculatus","shrub","native","perennial","Malvaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_ovenchar"
"78","degraded","DEG1",1,"surface","ovenchar",1,"Nicotiana glauca","Nicotiana glauca","shrub","nonnative","perennial","Solanaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_ovenchar"
"79","degraded","DEG1",1,"surface","ovenchar",1,"Pseudognaphalium luteoalbum","Pseudognaphalium luteoalbum","forb","nonnative","annual","Asteraceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_ovenchar"
"80","degraded","DEG1",1,"surface","ovenchar",1,"Trifolium gracelentum","Trifolium spp.","forb","native","annual","Fabaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_ovenchar"
"81","degraded","DEG1",1,"deep","charate",1,"Acmispon maritimus","Acmispon spp.","forb","native","annual","Fabaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_charate"
"82","degraded","DEG1",1,"deep","charate",1,"Artemisia californica","Artemisia californica","shrub","native","perennial","Asteraceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_charate"
"83","degraded","DEG1",1,"deep","charate",1,"Astragalus trichopodus","Astragalus trichopodus","forb","native","perennial","Fabaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_charate"
"84","degraded","DEG1",1,"deep","charate",1,"Bromus diandrus","Bromus spp.","grass","nonnative","annual","Poaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_charate"
"85","degraded","DEG1",1,"deep","charate",1,"Bromus madritensis","Bromus spp.","grass","nonnative","annual","Poaceae",1,"DEG1_1","DEG1_1_deep","DEG1_1_deep_charate"
"86","degraded","DEG1",1,"deep","charate",1,"Centaurea melitensis","Centaurea melitensis","forb","nonnative","annual","Asteraceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_charate"
"87","degraded","DEG1",1,"deep","charate",1,"Croton setiger","Croton setiger","forb","native","annual","Euphorbiaceae  ",1,"DEG1_1","DEG1_1_deep","DEG1_1_deep_charate"
"88","degraded","DEG1",1,"deep","charate",1,"Cryptantha spp.","Cryptantha spp.","forb","native","annual","Boraginaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_charate"
"89","degraded","DEG1",1,"deep","charate",1,"Emmenanthe penduliflora","Emmenanthe penduliflora","forb","native","annual","Hydrophyllaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_charate"
"90","degraded","DEG1",1,"deep","charate",1,"Erigeron canadensis","Erigeron canadensis","forb","native","annual","Asteraceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_charate"
"91","degraded","DEG1",1,"deep","charate",1,"Erodium cicutarium","Erodium spp.","forb","nonnative","annual","Geraniaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_charate"
"92","degraded","DEG1",1,"deep","charate",1,"Erodium moschatum","Erodium spp.","forb","nonnative","annual","Geraniaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_charate"
"93","degraded","DEG1",1,"deep","charate",1,"Eucrypta chrysanthemifolia","Eucrypta chrysanthemifolia","forb","native","annual","Hydrophyllaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_charate"
"94","degraded","DEG1",1,"deep","charate",1,"Fragaria vesca","Fragaria vesca","forb","native","perennial","Rosaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_charate"
"95","degraded","DEG1",1,"deep","charate",1,"Galium porrigens","Galium porrigens","forb","native","perennial","Rubiaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_charate"
"96","degraded","DEG1",1,"deep","charate",1,"Hirschfeldia incana","Hirschfeldia incana","forb","nonnative","annual","Brassicaceae",8,"DEG1_1","DEG1_1_deep","DEG1_1_deep_charate"
"97","degraded","DEG1",1,"deep","charate",1,"Malacothamnus fasciculatus","Malacothamnus fasciculatus","shrub","native","perennial","Malvaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_charate"
"98","degraded","DEG1",1,"deep","charate",1,"Nicotiana glauca","Nicotiana glauca","shrub","nonnative","perennial","Solanaceae",1,"DEG1_1","DEG1_1_deep","DEG1_1_deep_charate"
"99","degraded","DEG1",1,"deep","charate",1,"Pseudognaphalium luteoalbum","Pseudognaphalium luteoalbum","forb","nonnative","annual","Asteraceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_charate"
"100","degraded","DEG1",1,"deep","charate",1,"Trifolium gracelentum","Trifolium spp.","forb","native","annual","Fabaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_charate"
"101","degraded","DEG1",1,"deep","control",1,"Acmispon maritimus","Acmispon spp.","forb","native","annual","Fabaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_control"
"102","degraded","DEG1",1,"deep","control",1,"Artemisia californica","Artemisia californica","shrub","native","perennial","Asteraceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_control"
"103","degraded","DEG1",1,"deep","control",1,"Astragalus trichopodus","Astragalus trichopodus","forb","native","perennial","Fabaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_control"
"104","degraded","DEG1",1,"deep","control",1,"Bromus diandrus","Bromus spp.","grass","nonnative","annual","Poaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_control"
"105","degraded","DEG1",1,"deep","control",1,"Bromus madritensis","Bromus spp.","grass","nonnative","annual","Poaceae",1,"DEG1_1","DEG1_1_deep","DEG1_1_deep_control"
"106","degraded","DEG1",1,"deep","control",1,"Centaurea melitensis","Centaurea melitensis","forb","nonnative","annual","Asteraceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_control"
"107","degraded","DEG1",1,"deep","control",1,"Croton setiger","Croton setiger","forb","native","annual","Euphorbiaceae  ",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_control"
"108","degraded","DEG1",1,"deep","control",1,"Cryptantha spp.","Cryptantha spp.","forb","native","annual","Boraginaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_control"
"109","degraded","DEG1",1,"deep","control",1,"Emmenanthe penduliflora","Emmenanthe penduliflora","forb","native","annual","Hydrophyllaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_control"
"110","degraded","DEG1",1,"deep","control",1,"Erigeron canadensis","Erigeron canadensis","forb","native","annual","Asteraceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_control"
"111","degraded","DEG1",1,"deep","control",1,"Erodium cicutarium","Erodium spp.","forb","nonnative","annual","Geraniaceae",1,"DEG1_1","DEG1_1_deep","DEG1_1_deep_control"
"112","degraded","DEG1",1,"deep","control",1,"Erodium moschatum","Erodium spp.","forb","nonnative","annual","Geraniaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_control"
"113","degraded","DEG1",1,"deep","control",1,"Eucrypta chrysanthemifolia","Eucrypta chrysanthemifolia","forb","native","annual","Hydrophyllaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_control"
"114","degraded","DEG1",1,"deep","control",1,"Fragaria vesca","Fragaria vesca","forb","native","perennial","Rosaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_control"
"115","degraded","DEG1",1,"deep","control",1,"Galium porrigens","Galium porrigens","forb","native","perennial","Rubiaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_control"
"116","degraded","DEG1",1,"deep","control",1,"Hirschfeldia incana","Hirschfeldia incana","forb","nonnative","annual","Brassicaceae",7,"DEG1_1","DEG1_1_deep","DEG1_1_deep_control"
"117","degraded","DEG1",1,"deep","control",1,"Malacothamnus fasciculatus","Malacothamnus fasciculatus","shrub","native","perennial","Malvaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_control"
"118","degraded","DEG1",1,"deep","control",1,"Nicotiana glauca","Nicotiana glauca","shrub","nonnative","perennial","Solanaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_control"
"119","degraded","DEG1",1,"deep","control",1,"Pseudognaphalium luteoalbum","Pseudognaphalium luteoalbum","forb","nonnative","annual","Asteraceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_control"
"120","degraded","DEG1",1,"deep","control",1,"Trifolium gracelentum","Trifolium spp.","forb","native","annual","Fabaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_control"
"121","degraded","DEG1",1,"deep","oven",1,"Acmispon maritimus","Acmispon spp.","forb","native","annual","Fabaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_oven"
"122","degraded","DEG1",1,"deep","oven",1,"Artemisia californica","Artemisia californica","shrub","native","perennial","Asteraceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_oven"
"123","degraded","DEG1",1,"deep","oven",1,"Astragalus trichopodus","Astragalus trichopodus","forb","native","perennial","Fabaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_oven"
"124","degraded","DEG1",1,"deep","oven",1,"Bromus diandrus","Bromus spp.","grass","nonnative","annual","Poaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_oven"
"125","degraded","DEG1",1,"deep","oven",1,"Bromus madritensis","Bromus spp.","grass","nonnative","annual","Poaceae",3,"DEG1_1","DEG1_1_deep","DEG1_1_deep_oven"
"126","degraded","DEG1",1,"deep","oven",1,"Centaurea melitensis","Centaurea melitensis","forb","nonnative","annual","Asteraceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_oven"
"127","degraded","DEG1",1,"deep","oven",1,"Croton setiger","Croton setiger","forb","native","annual","Euphorbiaceae  ",2,"DEG1_1","DEG1_1_deep","DEG1_1_deep_oven"
"128","degraded","DEG1",1,"deep","oven",1,"Cryptantha spp.","Cryptantha spp.","forb","native","annual","Boraginaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_oven"
"129","degraded","DEG1",1,"deep","oven",1,"Emmenanthe penduliflora","Emmenanthe penduliflora","forb","native","annual","Hydrophyllaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_oven"
"130","degraded","DEG1",1,"deep","oven",1,"Erigeron canadensis","Erigeron canadensis","forb","native","annual","Asteraceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_oven"
"131","degraded","DEG1",1,"deep","oven",1,"Erodium cicutarium","Erodium spp.","forb","nonnative","annual","Geraniaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_oven"
"132","degraded","DEG1",1,"deep","oven",1,"Erodium moschatum","Erodium spp.","forb","nonnative","annual","Geraniaceae",1,"DEG1_1","DEG1_1_deep","DEG1_1_deep_oven"
"133","degraded","DEG1",1,"deep","oven",1,"Eucrypta chrysanthemifolia","Eucrypta chrysanthemifolia","forb","native","annual","Hydrophyllaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_oven"
"134","degraded","DEG1",1,"deep","oven",1,"Fragaria vesca","Fragaria vesca","forb","native","perennial","Rosaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_oven"
"135","degraded","DEG1",1,"deep","oven",1,"Galium porrigens","Galium porrigens","forb","native","perennial","Rubiaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_oven"
"136","degraded","DEG1",1,"deep","oven",1,"Hirschfeldia incana","Hirschfeldia incana","forb","nonnative","annual","Brassicaceae",9,"DEG1_1","DEG1_1_deep","DEG1_1_deep_oven"
"137","degraded","DEG1",1,"deep","oven",1,"Malacothamnus fasciculatus","Malacothamnus fasciculatus","shrub","native","perennial","Malvaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_oven"
"138","degraded","DEG1",1,"deep","oven",1,"Nicotiana glauca","Nicotiana glauca","shrub","nonnative","perennial","Solanaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_oven"
"139","degraded","DEG1",1,"deep","oven",1,"Pseudognaphalium luteoalbum","Pseudognaphalium luteoalbum","forb","nonnative","annual","Asteraceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_oven"
"140","degraded","DEG1",1,"deep","oven",1,"Trifolium gracelentum","Trifolium spp.","forb","native","annual","Fabaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_oven"
"141","degraded","DEG1",1,"deep","ovenchar",1,"Acmispon maritimus","Acmispon spp.","forb","native","annual","Fabaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_ovenchar"
"142","degraded","DEG1",1,"deep","ovenchar",1,"Artemisia californica","Artemisia californica","shrub","native","perennial","Asteraceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_ovenchar"
"143","degraded","DEG1",1,"deep","ovenchar",1,"Astragalus trichopodus","Astragalus trichopodus","forb","native","perennial","Fabaceae",0,"DEG1_1","DEG1_1_deep","DEG1_1_deep_ovenchar"
