"","standtype","site","rep","species","lifeform","status","lifecycle","family"
"43","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"44","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"45","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"46","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"47","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"48","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"49","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"50","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"51","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"52","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"53","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"54","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"55","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"56","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"57","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"58","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"59","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"60","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"61","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"62","degraded","DEG1",1,"Erodium spp.","herb","nonnative","annual","Geraniaceae"
"63","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"64","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"65","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"66","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"67","degraded","DEG1",1,"Artemisia californica","shrub","native","perennial","Asteraceae"
"68","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"69","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"70","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"71","degraded","DEG1",1,"Artemisia californica","shrub","native","perennial","Asteraceae"
"72","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"73","degraded","DEG1",1,"Erodium spp.","herb","nonnative","annual","Geraniaceae"
"74","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"75","degraded","DEG1",1,"Artemisia californica","shrub","native","perennial","Asteraceae"
"76","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"77","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"78","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"79","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"80","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"81","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"82","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"83","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"84","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"85","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"86","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"87","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"88","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"89","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"90","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"91","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"92","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"93","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"94","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"95","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"96","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"97","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"98","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"99","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"100","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"101","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"102","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"103","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"104","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"105","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"106","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"107","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"108","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"109","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"110","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"111","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"112","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"113","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"114","degraded","DEG1",1,"Acmispon maritimus","herb","native","annual","Fabaceae"
"115","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"116","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"117","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"118","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"119","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"120","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"121","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"122","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"123","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"124","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"125","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"126","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"127","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"128","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"129","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"130","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"131","degraded","DEG1",1,"Lupinus spp.","herb","native","annual","Fabaceae"
"132","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"133","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"134","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"135","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"136","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"137","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"138","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"139","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"140","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"141","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"142","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"143","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"144","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"145","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"146","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"147","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"148","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"149","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"150","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"151","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"152","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"153","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"154","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"155","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"156","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"157","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"158","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"159","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"160","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"161","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"162","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"163","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"164","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"165","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"166","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"167","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"168","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"169","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"170","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"171","degraded","DEG1",2,"Artemisia californica","shrub","native","perennial","Asteraceae"
"172","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"173","degraded","DEG1",2,"Artemisia californica","shrub","native","perennial","Asteraceae"
"174","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"175","degraded","DEG1",2,"Artemisia californica","shrub","native","perennial","Asteraceae"
"176","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"177","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"178","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"179","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"180","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"181","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"182","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"183","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"184","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"185","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"186","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"187","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"188","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"189","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"190","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"191","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"192","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"193","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"194","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"195","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"196","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"197","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"198","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"199","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"200","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"201","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"202","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"203","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"204","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"205","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"206","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"207","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"208","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"209","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"210","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"211","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"212","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"213","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"214","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"215","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"216","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"217","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"218","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"219","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"220","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"221","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"222","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"223","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"224","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"225","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"226","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"227","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"228","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"229","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"230","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"231","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"232","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"233","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"234","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"235","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"236","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"237","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"238","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"239","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"240","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"241","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"242","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"243","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"244","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"245","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"246","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"247","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"248","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"249","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"250","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"251","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"252","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"253","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"254","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"255","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"256","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"257","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"258","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"259","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"260","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"261","degraded","DEG1",2,"Erodium spp.","herb","nonnative","annual","Geraniaceae"
"262","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"263","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"264","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"265","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"266","degraded","DEG1",2,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"267","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"268","degraded","DEG1",2,"Lupinus spp.","herb","native","annual","Fabaceae"
"269","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"270","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"271","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"272","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"273","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"274","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"275","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"276","degraded","DEG1",2,"Lupinus spp.","herb","native","annual","Fabaceae"
"277","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"278","degraded","DEG1",2,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"279","degraded","DEG1",2,"Bromus rubens","grass","nonnative","annual","Poaceae"
"280","degraded","DEG1",2,"Avena barbata","grass","nonnative","annual","Poaceae"
"281","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"282","degraded","DEG1",3,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"283","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"284","degraded","DEG1",3,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"285","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"286","degraded","DEG1",3,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"287","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"288","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"289","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"290","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"291","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"292","degraded","DEG1",3,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"293","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"294","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"295","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"296","degraded","DEG1",3,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"297","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"298","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"299","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"300","degraded","DEG1",3,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"301","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"302","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"303","degraded","DEG1",3,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"304","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"305","degraded","DEG1",3,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"306","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"307","degraded","DEG1",3,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"308","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"309","degraded","DEG1",3,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"310","degraded","DEG1",3,"Artemisia californica","shrub","native","perennial","Asteraceae"
"311","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"312","degraded","DEG1",3,"Artemisia californica","shrub","native","perennial","Asteraceae"
"313","degraded","DEG1",3,"Artemisia californica","shrub","native","perennial","Asteraceae"
"314","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"315","degraded","DEG1",3,"Malacothamnus fasciculatus","shrub","native","perennial","Malvaceae"
"316","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"317","degraded","DEG1",3,"Malacothamnus fasciculatus","shrub","native","perennial","Malvaceae"
"318","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"319","degraded","DEG1",3,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"320","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"321","degraded","DEG1",3,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"322","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"323","degraded","DEG1",3,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"324","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
"325","degraded","DEG1",3,"Bromus rubens","grass","nonnative","annual","Poaceae"
"326","degraded","DEG1",3,"Avena barbata","grass","nonnative","annual","Poaceae"
