"","standtype","site","rep","distance","vertical","species","lifeform","status","lifecycle","family","site_rep","site_rep_dist","stand_status"
"23","degraded","DEG1",1,10,"1","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_10","degraded_nonnative"
"24","degraded","DEG1",1,10,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_10","degraded_nonnative"
"25","degraded","DEG1",1,10,"3","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_10","degraded_native"
"26","degraded","DEG1",1,10,"4","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_10","degraded_nonnative"
"27","degraded","DEG1",1,10,"5","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_10","degraded_nonnative"
"28","degraded","DEG1",1,11,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_11","degraded_nonnative"
"29","degraded","DEG1",1,11,"2","Erodium cicutarium","herb","nonnative","annual","Geraniaceae","DEG1_1","DEG1_1_11","degraded_nonnative"
"30","degraded","DEG1",1,11,"3","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_11","degraded_nonnative"
"31","degraded","DEG1",1,11,"4","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_11","degraded_native"
"32","degraded","DEG1",1,11,"5","Dipterostemon capitatus","herb","native","perennial","Themidaceae","DEG1_1","DEG1_1_11","degraded_native"
"33","degraded","DEG1",1,11,"6","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_11","degraded_nonnative"
"34","degraded","DEG1",1,12,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_12","degraded_nonnative"
"35","degraded","DEG1",1,12,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_12","degraded_nonnative"
"36","degraded","DEG1",1,12,"3","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_12","degraded_nonnative"
"37","degraded","DEG1",1,12,"4","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_12","degraded_nonnative"
"38","degraded","DEG1",1,13,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_13","degraded_nonnative"
"39","degraded","DEG1",1,13,"2","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_13","degraded_nonnative"
"40","degraded","DEG1",1,13,"3","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_13","degraded_nonnative"
"41","degraded","DEG1",1,14,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_14","degraded_nonnative"
"42","degraded","DEG1",1,14,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_14","degraded_nonnative"
"43","degraded","DEG1",1,14,"3","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_14","degraded_nonnative"
"44","degraded","DEG1",1,15,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_15","degraded_nonnative"
"45","degraded","DEG1",1,15,"2","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_15","degraded_nonnative"
"46","degraded","DEG1",1,15,"3","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_15","degraded_nonnative"
"47","degraded","DEG1",1,15,"4","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_15","degraded_nonnative"
"48","degraded","DEG1",1,15,"5","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_15","degraded_nonnative"
"49","degraded","DEG1",1,16,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_16","degraded_nonnative"
"50","degraded","DEG1",1,16,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_16","degraded_nonnative"
"51","degraded","DEG1",1,16,"3","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_16","degraded_native"
"52","degraded","DEG1",1,16,"4","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_16","degraded_nonnative"
"53","degraded","DEG1",1,16,"5","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_16","degraded_nonnative"
"54","degraded","DEG1",1,17,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_17","degraded_nonnative"
"55","degraded","DEG1",1,17,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_17","degraded_nonnative"
"56","degraded","DEG1",1,17,"3","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_17","degraded_native"
"57","degraded","DEG1",1,17,"4","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_17","degraded_nonnative"
"58","degraded","DEG1",1,18,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_18","degraded_nonnative"
"59","degraded","DEG1",1,18,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_18","degraded_nonnative"
"60","degraded","DEG1",1,19,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_19","degraded_nonnative"
"61","degraded","DEG1",1,19,"2","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_19","degraded_native"
"62","degraded","DEG1",1,19,"3","Erodium spp.","herb","nonnative","annual","Geraniaceae","DEG1_1","DEG1_1_19","degraded_nonnative"
"63","degraded","DEG1",1,19,"4","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_19","degraded_native"
"64","degraded","DEG1",1,19,"5","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_19","degraded_nonnative"
"65","degraded","DEG1",1,20,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_20","degraded_nonnative"
"66","degraded","DEG1",1,20,"2","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_20","degraded_native"
"67","degraded","DEG1",1,20,"3","Artemisia californica","shrub","native","perennial","Asteraceae","DEG1_1","DEG1_1_20","degraded_native"
"68","degraded","DEG1",1,20,"4","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_20","degraded_nonnative"
"69","degraded","DEG1",1,21,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_21","degraded_nonnative"
"70","degraded","DEG1",1,21,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_21","degraded_nonnative"
"71","degraded","DEG1",1,21,"3","Artemisia californica","shrub","native","perennial","Asteraceae","DEG1_1","DEG1_1_21","degraded_native"
"72","degraded","DEG1",1,21,"4","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_21","degraded_nonnative"
"73","degraded","DEG1",1,22,"1","Erodium spp.","herb","nonnative","annual","Geraniaceae","DEG1_1","DEG1_1_22","degraded_nonnative"
"74","degraded","DEG1",1,22,"2","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_22","degraded_nonnative"
"75","degraded","DEG1",1,22,"3","Artemisia californica","shrub","native","perennial","Asteraceae","DEG1_1","DEG1_1_22","degraded_native"
"76","degraded","DEG1",1,22,"4","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_22","degraded_nonnative"
"77","degraded","DEG1",1,23,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_23","degraded_nonnative"
"78","degraded","DEG1",1,23,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_23","degraded_nonnative"
"79","degraded","DEG1",1,23,"3","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_23","degraded_native"
"80","degraded","DEG1",1,23,"4","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_23","degraded_nonnative"
"81","degraded","DEG1",1,24,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_24","degraded_nonnative"
"82","degraded","DEG1",1,24,"2","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_24","degraded_native"
"83","degraded","DEG1",1,24,"3","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_24","degraded_nonnative"
"84","degraded","DEG1",1,24,"4","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_24","degraded_nonnative"
"85","degraded","DEG1",1,25,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_25","degraded_nonnative"
"86","degraded","DEG1",1,25,"2","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_25","degraded_nonnative"
"87","degraded","DEG1",1,25,"3","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_25","degraded_nonnative"
"88","degraded","DEG1",1,26,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_26","degraded_nonnative"
"89","degraded","DEG1",1,26,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_26","degraded_nonnative"
"90","degraded","DEG1",1,27,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_27","degraded_nonnative"
"91","degraded","DEG1",1,27,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_27","degraded_nonnative"
"92","degraded","DEG1",1,27,"3","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_27","degraded_native"
"93","degraded","DEG1",1,27,"4","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_27","degraded_nonnative"
"94","degraded","DEG1",1,27,"5","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_27","degraded_native"
"95","degraded","DEG1",1,27,"6","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_27","degraded_nonnative"
"96","degraded","DEG1",1,28,"1","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_28","degraded_nonnative"
"97","degraded","DEG1",1,28,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_28","degraded_nonnative"
"98","degraded","DEG1",1,28,"3","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_28","degraded_nonnative"
"99","degraded","DEG1",1,29,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_29","degraded_nonnative"
"100","degraded","DEG1",1,29,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_29","degraded_nonnative"
"101","degraded","DEG1",1,29,"3","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_29","degraded_nonnative"
"102","degraded","DEG1",1,29,"4","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_29","degraded_nonnative"
"103","degraded","DEG1",1,30,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_30","degraded_nonnative"
"104","degraded","DEG1",1,30,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_30","degraded_nonnative"
"105","degraded","DEG1",1,30,"3","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_30","degraded_native"
"106","degraded","DEG1",1,30,"4","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_30","degraded_nonnative"
"107","degraded","DEG1",1,30,"5","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_30","degraded_native"
"108","degraded","DEG1",1,30,"6","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_30","degraded_nonnative"
"109","degraded","DEG1",1,31,"1","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_31","degraded_nonnative"
"110","degraded","DEG1",1,31,"2","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_31","degraded_nonnative"
"111","degraded","DEG1",1,31,"3","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_31","degraded_nonnative"
"112","degraded","DEG1",1,31,"4","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_31","degraded_native"
"113","degraded","DEG1",1,32,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_32","degraded_nonnative"
"114","degraded","DEG1",1,32,"2","Acmispon maritimus","herb","native","annual","Fabaceae","DEG1_1","DEG1_1_32","degraded_native"
"115","degraded","DEG1",1,32,"3","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_32","degraded_nonnative"
"116","degraded","DEG1",1,33,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_33","degraded_nonnative"
"117","degraded","DEG1",1,33,"2","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_33","degraded_nonnative"
"118","degraded","DEG1",1,33,"3","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_33","degraded_nonnative"
"119","degraded","DEG1",1,33,"4","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_33","degraded_nonnative"
"120","degraded","DEG1",1,34,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_34","degraded_nonnative"
"121","degraded","DEG1",1,34,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_34","degraded_nonnative"
"122","degraded","DEG1",1,35,"1","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_35","degraded_nonnative"
"123","degraded","DEG1",1,35,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_35","degraded_nonnative"
"124","degraded","DEG1",1,36,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_36","degraded_nonnative"
"125","degraded","DEG1",1,36,"2","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_36","degraded_native"
"126","degraded","DEG1",1,36,"3","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_36","degraded_nonnative"
"127","degraded","DEG1",1,36,"4","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_36","degraded_native"
"128","degraded","DEG1",1,36,"5","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_36","degraded_nonnative"
"129","degraded","DEG1",1,37,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_37","degraded_nonnative"
"130","degraded","DEG1",1,37,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_37","degraded_nonnative"
"131","degraded","DEG1",1,37,"3","Lupinus spp.","herb","native","annual","Fabaceae","DEG1_1","DEG1_1_37","degraded_native"
"132","degraded","DEG1",1,37,"4","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_37","degraded_nonnative"
"133","degraded","DEG1",1,37,"5","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_37","degraded_nonnative"
"134","degraded","DEG1",1,37,"6","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_37","degraded_nonnative"
"135","degraded","DEG1",1,38,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_38","degraded_nonnative"
"136","degraded","DEG1",1,38,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_38","degraded_nonnative"
"137","degraded","DEG1",1,39,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_39","degraded_nonnative"
"138","degraded","DEG1",1,39,"2","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_39","degraded_nonnative"
"139","degraded","DEG1",1,40,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_40","degraded_nonnative"
"140","degraded","DEG1",1,40,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_40","degraded_nonnative"
"141","degraded","DEG1",1,40,"3","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_40","degraded_nonnative"
"142","degraded","DEG1",1,40,"4","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_40","degraded_nonnative"
"143","degraded","DEG1",1,40,"5","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_40","degraded_native"
"144","degraded","DEG1",1,40,"6","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_40","degraded_nonnative"
"145","degraded","DEG1",1,41,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_41","degraded_nonnative"
"146","degraded","DEG1",1,41,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_41","degraded_nonnative"
"147","degraded","DEG1",1,41,"3","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_41","degraded_nonnative"
"148","degraded","DEG1",1,41,"4","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_41","degraded_nonnative"
"149","degraded","DEG1",1,41,"5","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_41","degraded_nonnative"
"150","degraded","DEG1",1,41,"6","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_41","degraded_nonnative"
"151","degraded","DEG1",2,1,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_1","degraded_nonnative"
"152","degraded","DEG1",2,1,"2","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_1","degraded_nonnative"
"153","degraded","DEG1",2,1,"3","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_1","degraded_nonnative"
"154","degraded","DEG1",2,2,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_2","degraded_nonnative"
"155","degraded","DEG1",2,2,"2","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_2","DEG1_2_2","degraded_native"
"156","degraded","DEG1",2,2,"3","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_2","degraded_nonnative"
"157","degraded","DEG1",2,3,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_3","degraded_nonnative"
"158","degraded","DEG1",2,3,"2","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_3","degraded_nonnative"
"159","degraded","DEG1",2,3,"3","Hirschfeldia incana dead","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_3","degraded_nonnative"
"160","degraded","DEG1",2,3,"4","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_3","degraded_nonnative"
"161","degraded","DEG1",2,4,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_4","degraded_nonnative"
"162","degraded","DEG1",2,4,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_4","degraded_nonnative"
"163","degraded","DEG1",2,4,"3","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_4","degraded_nonnative"
"164","degraded","DEG1",2,4,"4","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_4","degraded_nonnative"
"165","degraded","DEG1",2,5,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_5","degraded_nonnative"
"166","degraded","DEG1",2,5,"2","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_5","degraded_nonnative"
"167","degraded","DEG1",2,6,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_6","degraded_nonnative"
"168","degraded","DEG1",2,6,"2","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_6","degraded_nonnative"
"169","degraded","DEG1",2,7,"1","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_2","DEG1_2_7","degraded_native"
"170","degraded","DEG1",2,8,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_8","degraded_nonnative"
"171","degraded","DEG1",2,8,"2","Artemisia californica","shrub","native","perennial","Asteraceae","DEG1_2","DEG1_2_8","degraded_native"
"172","degraded","DEG1",2,9,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_9","degraded_nonnative"
"173","degraded","DEG1",2,9,"2","Artemisia californica","shrub","native","perennial","Asteraceae","DEG1_2","DEG1_2_9","degraded_native"
"174","degraded","DEG1",2,9,"3","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_9","degraded_nonnative"
"175","degraded","DEG1",2,9,"4","Artemisia californica","shrub","native","perennial","Asteraceae","DEG1_2","DEG1_2_9","degraded_native"
"176","degraded","DEG1",2,10,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_10","degraded_nonnative"
"177","degraded","DEG1",2,10,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_10","degraded_nonnative"
"178","degraded","DEG1",2,10,"3","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_10","degraded_nonnative"
"179","degraded","DEG1",2,11,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_11","degraded_nonnative"
"180","degraded","DEG1",2,11,"2","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_11","degraded_nonnative"
"181","degraded","DEG1",2,11,"3","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_11","degraded_nonnative"
"182","degraded","DEG1",2,11,"4","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_11","degraded_nonnative"
"183","degraded","DEG1",2,12,"1","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_12","degraded_nonnative"
"184","degraded","DEG1",2,12,"2","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_12","degraded_nonnative"
"185","degraded","DEG1",2,12,"3","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_12","degraded_nonnative"
"186","degraded","DEG1",2,13,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_13","degraded_nonnative"
"187","degraded","DEG1",2,13,"2","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_2","DEG1_2_13","degraded_native"
"188","degraded","DEG1",2,13,"3","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_13","degraded_nonnative"
"189","degraded","DEG1",2,13,"4","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_13","degraded_nonnative"
"190","degraded","DEG1",2,14,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_2","DEG1_2_14","degraded_nonnative"
"191","degraded","DEG1",2,14,"2","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_2","DEG1_2_14","degraded_native"
"192","degraded","DEG1",2,14,"3","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_14","degraded_nonnative"
"193","degraded","DEG1",2,14,"4","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_2","DEG1_2_14","degraded_native"
"194","degraded","DEG1",2,14,"5","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_2","DEG1_2_14","degraded_nonnative"
