"","standtype","site_rep","percentcover","status_lifeform"
"107","degraded","DEG1_2",0,"nonnative_shrub"
"108","degraded","DEG1_3",0,"nonnative_shrub"
"109","degraded","DEG2_4",0,"nonnative_shrub"
"110","degraded","DEG2_5",0,"nonnative_shrub"
"111","degraded","DEG2_6",0,"nonnative_shrub"
"112","intact","Intact_1_1",0,"nonnative_shrub"
"113","intact","Intact_2_2",0,"nonnative_shrub"
"114","intact","Intact_3_3",0,"nonnative_shrub"
"115","matrix","ENH1_1",0,"nonnative_shrub"
"116","matrix","ENH1_2",0,"nonnative_shrub"
"117","matrix","ENH1_3",0,"nonnative_shrub"
"118","matrix","ENH2_4",0,"nonnative_shrub"
"119","matrix","ENH2_5",0,"nonnative_shrub"
"120","matrix","ENH2_6",0,"nonnative_shrub"
